   2022      5     19   12.00      3312.00   0.14837E+02   0.00000E+00   0.14837E+02   0.14905E+02   0.14973E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.15903E+02   0.34861E+02  -0.13555E+03  -0.87252E+02   0.17899E-02   0.19206E-04   0.44504E-03       0.17     314.06     0.0000  0.00   0.15233E-02   0.14328E+00    14.8890    14.9051    14.9123    14.9228    14.9720
   2022      5     20   12.00      3336.00   0.16236E+02   0.00000E+00   0.16236E+02   0.16397E+02   0.16471E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.57177E+02   0.11453E+03  -0.16558E+03  -0.79664E+02   0.50149E-02   0.95082E-04   0.45943E-02       0.17     294.13     0.0000  0.00   0.56514E-01  -0.18714E+01    16.3648    16.4028    16.4143    16.4253    16.4660
   2022      5     21   12.00      3360.00   0.16875E+02   0.00000E+00   0.16875E+02   0.17158E+02   0.17417E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.72441E+02   0.14816E+03  -0.17520E+03  -0.77868E+02   0.58521E-02   0.13303E-03   0.98953E-02       0.17     285.19     0.0000  0.00   0.26669E-01  -0.33753E+01    17.0566    17.1015    17.2455    17.3639    17.4060
   2022      5     22   12.00      3384.00   0.17746E+02   0.00000E+00   0.17746E+02   0.17923E+02   0.18024E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.63011E+02   0.13156E+03  -0.16382E+03  -0.79127E+02   0.49464E-02   0.84012E-04   0.43928E-02       0.17     288.43     0.0000  0.00   0.51940E-01  -0.16673E+01    17.8836    17.9219    17.9386    17.9776    18.0181
   2022      5     23   12.00      3408.00   0.19112E+02   0.00000E+00   0.19112E+02   0.19193E+02   0.19250E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.23967E+02   0.59832E+02  -0.13298E+03  -0.71027E+02   0.22442E-02   0.26147E-04   0.10666E-02       0.17     285.31     0.0000  0.00   0.82365E-02   0.95414E-01    19.1756    19.1950    19.2016    19.2102    19.2484
   2022      5     24   12.00      3432.00   0.19804E+02   0.00000E+00   0.19804E+02   0.19997E+02   0.20071E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.32779E+02   0.11693E+03  -0.18866E+03  -0.75539E+02   0.39788E-02   0.57450E-04   0.21385E-02       0.17     281.90     0.0000  0.00  -0.98163E-02   0.12649E+01    19.9603    20.0021    20.0171    20.0286    20.0649
   2022      5     25   12.00      3456.00   0.19701E+02   0.00000E+00   0.19701E+02   0.20042E+02   0.20199E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.33902E+02   0.14345E+03  -0.22275E+03  -0.88773E+02   0.49325E-02   0.85801E-04   0.47833E-02       0.17     302.06     0.0000  0.00   0.54488E-01   0.20274E+01    19.9636    20.0272    20.1035    20.1402    20.1870
   2022      5     26   12.00      3480.00   0.19941E+02   0.00000E+00   0.19941E+02   0.20249E+02   0.20351E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.25526E+02   0.13739E+03  -0.23324E+03  -0.97340E+02   0.43895E-02   0.78722E-04   0.32466E-02       0.17     322.89     0.0000  0.00   0.39860E-02   0.18487E+01    20.1978    20.2575    20.2776    20.2930    20.3398
   2022      5     27   12.00      3504.00   0.19504E+02   0.00000E+00   0.19504E+02   0.19966E+02   0.20157E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.23014E+02   0.16916E+03  -0.26161E+03  -0.92390E+02   0.56052E-02   0.93357E-04   0.71390E-02       0.16     287.69     0.0000  0.00  -0.84110E-01   0.19354E+01    19.8568    19.9470    20.0531    20.0936    20.1433
   2022      5     28   12.00      3528.00   0.18168E+02   0.00000E+00   0.18168E+02   0.18713E+02   0.18934E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.25788E+02   0.17948E+03  -0.25637E+03  -0.88310E+02   0.67817E-02   0.13449E-03   0.14846E-01       0.16     244.22     0.0000  0.00  -0.15188E+00   0.18146E+01    18.5695    18.6761    18.8436    18.8734    18.9200
   2022      5     29   12.00      3552.00   0.18180E+02   0.00000E+00   0.18180E+02   0.18327E+02   0.18439E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.12688E+02   0.69482E+02  -0.15474E+03  -0.80914E+02   0.26035E-02   0.35755E-04   0.18424E-02       0.16     247.95     0.0000  0.00  -0.23215E-01   0.40837E+00    18.2851    18.3153    18.3573    18.3927    18.4349
   2022      5     30   12.00      3576.00   0.19115E+02   0.00000E+00   0.19115E+02   0.19229E+02   0.19291E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.23542E+02   0.88259E+02  -0.15811E+03  -0.78652E+02   0.32367E-02   0.43373E-04   0.62771E-03       0.16     264.25     0.0000  0.00   0.34008E-01   0.26484E+00    19.2051    19.2324    19.2406    19.2505    19.2878
   2022      5     31   12.00      3600.00   0.19986E+02   0.00000E+00   0.19986E+02   0.20140E+02   0.20207E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.32754E+02   0.98717E+02  -0.15689E+03  -0.75335E+02   0.36816E-02   0.55522E-04   0.14404E-02       0.16     266.67     0.0000  0.00   0.34851E-03   0.12705E+01    20.1108    20.1462    20.1556    20.1656    20.2024
   2022      6      1   12.00      3624.00   0.21075E+02   0.00000E+00   0.21075E+02   0.21168E+02   0.21227E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.21338E+02   0.70906E+02  -0.15077E+03  -0.76754E+02   0.24498E-02   0.32703E-04   0.69430E-03       0.16     284.44     0.0000  0.00   0.14075E-01   0.17675E+00    21.1495    21.1702    21.1776    21.1867    21.2238
   2022      6      2   12.00      3648.00   0.22039E+02   0.00000E+00   0.22039E+02   0.22182E+02   0.22252E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.27821E+02   0.10099E+03  -0.18719E+03  -0.86905E+02   0.29673E-02   0.44833E-04   0.11665E-02       0.16     315.31     0.0000  0.00  -0.23856E-02  -0.50494E+00    22.1550    22.1850    22.1954    22.2073    22.2467
   2022      6      3   12.00      3672.00   0.21763E+02   0.00000E+00   0.21763E+02   0.22319E+02   0.22680E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.69987E+02   0.22551E+03  -0.27181E+03  -0.98672E+02   0.65439E-02   0.98773E-04   0.12824E-01       0.16     325.18     0.0000  0.00  -0.15203E+00  -0.15659E+01    22.1481    22.2358    22.4738    22.6137    22.6662
   2022      6      4   12.00      3696.00   0.22129E+02   0.00000E+00   0.22129E+02   0.22386E+02   0.22578E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.38483E+02   0.12984E+03  -0.21301E+03  -0.97573E+02   0.36733E-02   0.52506E-04   0.37205E-02       0.16     318.14     0.0000  0.00  -0.34918E-02  -0.67273E+00    22.3144    22.3599    22.4374    22.5223    22.5693
   2022      6      5   12.00      3720.00   0.21792E+02   0.00000E+00   0.21792E+02   0.22259E+02   0.22534E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.69021E+02   0.20328E+03  -0.25209E+03  -0.96081E+02   0.63612E-02   0.10137E-03   0.11242E-01       0.16     299.31     0.0000  0.00   0.13790E+00  -0.14769E+01    22.1130    22.1977    22.3972    22.4689    22.5172
   2022      6      6   12.00      3744.00   0.21970E+02   0.00000E+00   0.21970E+02   0.22248E+02   0.22451E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.60338E+02   0.15008E+03  -0.19504E+03  -0.86517E+02   0.47741E-02   0.65559E-04   0.33849E-02       0.16     280.26     0.0000  0.00   0.75028E-01  -0.96556E+00    22.1357    22.1846    22.3715    22.3988    22.4426
   2022      6      7   12.00      3768.00   0.22879E+02   0.00000E+00   0.22879E+02   0.22997E+02   0.23059E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.42220E+02   0.10661E+03  -0.16231E+03  -0.81699E+02   0.32389E-02   0.45541E-04   0.72712E-03       0.16     286.93     0.0000  0.00   0.21999E-01  -0.69088E+00    22.9740    23.0007    23.0084    23.0179    23.0549
   2022      6      8   12.00      3792.00   0.23771E+02   0.00000E+00   0.23771E+02   0.23927E+02   0.23994E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.42797E+02   0.12659E+03  -0.18759E+03  -0.83545E+02   0.34509E-02   0.51933E-04   0.96478E-03       0.16     297.81     0.0000  0.00   0.22874E-01  -0.85527E+00    23.8991    23.9328    23.9416    23.9517    23.9890
   2022      6      9   12.00      3816.00   0.23638E+02   0.00000E+00   0.23638E+02   0.23960E+02   0.24119E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.55433E+02   0.18854E+03  -0.24848E+03  -0.89498E+02   0.50812E-02   0.76658E-04   0.42635E-02       0.16     290.58     0.0000  0.00   0.94419E-01  -0.88532E-01    23.8814    23.9500    24.0166    24.0589    24.1068
   2022      6     10   12.00      3840.00   0.22382E+02   0.00000E+00   0.22382E+02   0.22941E+02   0.23239E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.57442E+02   0.22869E+03  -0.29937E+03  -0.10484E+03   0.65922E-02   0.11764E-03   0.12985E-01       0.16     301.45     0.0000  0.00   0.15323E+00   0.14610E+01    22.7851    22.8906    23.0748    23.1695    23.2240
   2022      6     11   12.00      3864.00   0.21431E+02   0.00000E+00   0.21431E+02   0.21923E+02   0.22144E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.27857E+02   0.18591E+03  -0.29817E+03  -0.11610E+03   0.49768E-02   0.91765E-04   0.59309E-02       0.16     318.79     0.0000  0.00   0.17908E-01   0.19570E+01    21.8170    21.9038    22.0024    22.0672    22.1253
   2022      6     12   12.00      3888.00   0.19840E+02   0.00000E+00   0.19840E+02   0.20592E+02   0.21102E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.14313E+02   0.20568E+03  -0.32714E+03  -0.11757E+03   0.59964E-02   0.10756E-03   0.10334E-01       0.16     297.70     0.0000  0.00  -0.82243E-01   0.28580E+01    20.3429    20.4738    20.8146    21.0229    21.0843
   2022      6     13   12.00      3912.00   0.18673E+02   0.00000E+00   0.18673E+02   0.19126E+02   0.19389E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.47565E+01   0.15633E+03  -0.26946E+03  -0.10086E+03   0.46966E-02   0.85000E-04   0.37208E-02       0.16     239.38     0.0000  0.00  -0.29083E-02   0.20993E+01    18.9889    19.0731    19.2503    19.3203    19.3738
   2022      6     14   12.00      3936.00   0.17713E+02   0.00000E+00   0.17713E+02   0.18044E+02   0.18264E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.16046E+02   0.12681E+03  -0.21322E+03  -0.93021E+02   0.44235E-02   0.68290E-04   0.29371E-02       0.16     222.34     0.0000  0.00   0.44755E-01   0.15740E+01    17.9464    18.0100    18.1212    18.2013    18.2529
   2022      6     15   12.00      3960.00   0.18106E+02   0.00000E+00   0.18106E+02   0.18265E+02   0.18341E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.26420E+02   0.98189E+02  -0.17117E+03  -0.93302E+02   0.35585E-02   0.44917E-04   0.98973E-03       0.16     256.75     0.0000  0.00   0.40642E-01   0.65210E+00    18.2334    18.2701    18.2815    18.2932    18.3363
   2022      6     16   12.00      3984.00   0.19331E+02   0.00000E+00   0.19331E+02   0.19398E+02   0.19455E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.21355E+02   0.63109E+02  -0.13560E+03  -0.79944E+02   0.24050E-02   0.26615E-04   0.14797E-03       0.16     253.31     0.0000  0.00   0.21197E-01   0.30315E-01    19.3819    19.3986    19.4055    19.4145    19.4528
   2022      6     17   12.00      4008.00   0.20303E+02   0.00000E+00   0.20303E+02   0.20363E+02   0.20405E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.18240E+02   0.53392E+02  -0.11403E+03  -0.51957E+02   0.21525E-02   0.22362E-04   0.95538E-04       0.16     181.92     0.0000  0.00   0.16117E-01   0.61204E-01    20.3499    20.3646    20.3704    20.3770    20.4032
   2022      6     18   12.00      4032.00   0.20331E+02   0.00000E+00   0.20331E+02   0.20399E+02   0.20438E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.22282E+02   0.61170E+02  -0.10684E+03  -0.44747E+02   0.25565E-02   0.26980E-04   0.17649E-03       0.16     150.65     0.0000  0.00   0.22733E-01   0.21394E+00    20.3831    20.4007    20.4072    20.4134    20.4367
   2022      6     19   12.00      4056.00   0.20883E+02   0.00000E+00   0.20883E+02   0.20947E+02   0.20997E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.22290E+02   0.63888E+02  -0.12246E+03  -0.66641E+02   0.25348E-02   0.27433E-04   0.18476E-03       0.16     226.35     0.0000  0.00   0.20875E-01   0.26228E+00    20.9317    20.9481    20.9545    20.9623    20.9950
   2022      6     20   12.00      4080.00   0.21924E+02   0.00000E+00   0.21924E+02   0.22093E+02   0.22172E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.29616E+02   0.10970E+03  -0.18486E+03  -0.92884E+02   0.35718E-02   0.51176E-04   0.13084E-02       0.16     312.45     0.0000  0.00   0.16181E-01   0.11718E+01    22.0595    22.0960    22.1122    22.1240    22.1666
   2022      6     21   12.00      4104.00   0.22145E+02   0.00000E+00   0.22145E+02   0.22536E+02   0.22702E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.29721E+02   0.16700E+03  -0.24761E+03  -0.91531E+02   0.49845E-02   0.93683E-04   0.55205E-02       0.16     290.02     0.0000  0.00   0.30214E-01   0.24060E+01    22.4470    22.5184    22.6086    22.6435    22.6901
   2022      6     22   12.00      4128.00   0.20833E+02   0.00000E+00   0.20833E+02   0.21272E+02   0.21577E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.23976E+02   0.16183E+03  -0.22713E+03  -0.70265E+02   0.50757E-02   0.88172E-04   0.54435E-02       0.16     186.24     0.0000  0.00   0.46668E-01   0.23562E+01    21.1266    21.1999    21.4048    21.5274    21.5662
   2022      6     23   12.00      4152.00   0.19670E+02   0.00000E+00   0.19670E+02   0.19872E+02   0.19939E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.20795E+02   0.10933E+03  -0.16175E+03  -0.57682E+02   0.37559E-02   0.63257E-04   0.15289E-02       0.16     139.50     0.0000  0.00   0.18309E-01   0.13187E+01    19.8359    19.8805    19.8921    19.9024    19.9324
   2022      6     24   12.00      4176.00   0.19491E+02   0.00000E+00   0.19491E+02   0.19591E+02   0.19644E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.24191E+02   0.78851E+02  -0.12721E+03  -0.63365E+02   0.30303E-02   0.40487E-04   0.48943E-03       0.16     178.33     0.0000  0.00   0.25452E-01   0.46876E+00    19.5701    19.5952    19.6024    19.6105    19.6413
   2022      6     25   12.00      4200.00   0.19696E+02   0.00000E+00   0.19696E+02   0.19906E+02   0.19987E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.60341E+02   0.14863E+03  -0.15670E+03  -0.67899E+02   0.66200E-02   0.17009E-03   0.15761E-01       0.16     199.79     0.0000  0.00   0.16446E+00  -0.71163E+00    19.8646    19.9096    19.9324    19.9451    19.9795
   2022      6     26   12.00      4224.00   0.19340E+02   0.00000E+00   0.19340E+02   0.19737E+02   0.20193E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.81613E+02   0.16863E+03  -0.14202E+03  -0.55318E+02   0.97215E-02   0.31985E-03   0.55571E-01       0.16     164.67     0.0000  0.00   0.34501E+00  -0.19390E+01    19.5200    19.5640    19.9821    20.1569    20.1861
   2022      6     27   12.00      4248.00   0.19211E+02   0.00000E+00   0.19211E+02   0.19412E+02   0.19470E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.71422E+02   0.15128E+03  -0.13055E+03  -0.53623E+02   0.85082E-02   0.46487E-03   0.33964E-01       0.16     147.08     0.0000  0.00   0.27033E+00   0.34801E-01    19.3804    19.4190    19.4295    19.4368    19.4623
   2022      6     28   12.00      4272.00   0.19311E+02   0.00000E+00   0.19311E+02   0.19435E+02   0.19496E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.44458E+02   0.96947E+02  -0.10621E+03  -0.54741E+02   0.45342E-02   0.79047E-04   0.46006E-02       0.16     164.15     0.0000  0.00   0.81674E-01   0.68452E+00    19.4087    19.4379    19.4506    19.4622    19.4926
   2022      6     29   12.00      4296.00   0.20409E+02   0.00000E+00   0.20409E+02   0.20446E+02   0.20491E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.19355E+02   0.44201E+02  -0.88893E+02  -0.60047E+02   0.20111E-02   0.18134E-04   0.68948E-04       0.16     210.22     0.0000  0.00   0.14695E-01   0.17196E-01    20.4368    20.4460    20.4500    20.4569    20.4911
   2022      6     30   12.00      4320.00   0.21553E+02   0.00000E+00   0.21553E+02   0.21675E+02   0.21732E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.48507E+02   0.11290E+03  -0.13634E+03  -0.65795E+02   0.41614E-02   0.60300E-04   0.23146E-02       0.16     233.04     0.0000  0.00   0.61353E-01  -0.60815E+00    21.6508    21.6798    21.6876    21.6962    21.7290
   2022      7      1   12.00      4344.00   0.21682E+02   0.00000E+00   0.21682E+02   0.21926E+02   0.22053E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.66164E+02   0.15596E+03  -0.15732E+03  -0.60277E+02   0.63167E-02   0.11997E-03   0.10552E-01       0.16     201.84     0.0000  0.00   0.13807E+00  -0.12126E+01    21.8614    21.9096    21.9768    22.0136    22.0455
   2022      7      2   12.00      4368.00   0.21403E+02   0.00000E+00   0.21403E+02   0.21607E+02   0.21730E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.51218E+02   0.12645E+03  -0.13388E+03  -0.48044E+02   0.53217E-02   0.75284E-04   0.57478E-02       0.16     153.67     0.0000  0.00   0.95791E-01  -0.12021E+01    21.5491    21.5913    21.6505    21.6974    21.7240
   2022      7      3   12.00      4392.00   0.21352E+02   0.00000E+00   0.21352E+02   0.21421E+02   0.21457E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.21753E+02   0.58076E+02  -0.95077E+02  -0.40193E+02   0.25804E-02   0.26832E-04   0.33650E-03       0.16     134.26     0.0000  0.00   0.21879E-01  -0.22892E+00    21.4060    21.4233    21.4292    21.4350    21.4562
   2022      7      4   12.00      4416.00   0.21292E+02   0.00000E+00   0.21292E+02   0.21372E+02   0.21408E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.19373E+02   0.68586E+02  -0.11343E+03  -0.38147E+02   0.26288E-02   0.28824E-04   0.19731E-03       0.16     122.79     0.0000  0.00   0.21530E-01   0.35672E+00    21.3544    21.3747    21.3815    21.3874    21.4065
   2022      7      5   12.00      4440.00   0.20531E+02   0.00000E+00   0.20531E+02   0.20624E+02   0.20661E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.21830E+02   0.78796E+02  -0.11697E+03  -0.35344E+02   0.30235E-02   0.33338E-04   0.34482E-03       0.16      96.72     0.0000  0.00   0.33281E-01   0.18169E+00    20.6038    20.6278    20.6356    20.6418    20.6602
   2022      7      6   12.00      4464.00   0.19841E+02   0.00000E+00   0.19841E+02   0.19939E+02   0.19980E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.26698E+02   0.74949E+02  -0.10323E+03  -0.40202E+02   0.33175E-02   0.33872E-04   0.56430E-03       0.16     108.47     0.0000  0.00   0.40764E-01  -0.74918E-01    19.9178    19.9430    19.9508    19.9574    19.9784
   2022      7      7   12.00      4488.00   0.19837E+02   0.00000E+00   0.19837E+02   0.19909E+02   0.19951E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.26850E+02   0.71211E+02  -0.10205E+03  -0.47223E+02   0.30764E-02   0.31736E-04   0.35995E-03       0.16     139.45     0.0000  0.00   0.33480E-01  -0.25290E+00    19.8915    19.9116    19.9186    19.9254    19.9500
   2022      7      8   12.00      4512.00   0.20223E+02   0.00000E+00   0.20223E+02   0.20309E+02   0.20359E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.35299E+02   0.77916E+02  -0.10876E+03  -0.60535E+02   0.33186E-02   0.36222E-04   0.78389E-03       0.16     192.26     0.0000  0.00   0.24079E-01  -0.79794E+00    20.2891    20.3113    20.3187    20.3267    20.3581
   2022      7      9   12.00      4536.00   0.21401E+02   0.00000E+00   0.21401E+02   0.21493E+02   0.21551E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.51282E+02   0.96311E+02  -0.12587E+03  -0.73851E+02   0.40191E-02   0.48098E-04   0.18364E-02       0.16     253.97     0.0000  0.00   0.51171E-01  -0.51732E+00    21.4721    21.4956    21.5032    21.5124    21.5492
   2022      7     10   12.00      4560.00   0.22631E+02   0.00000E+00   0.22631E+02   0.22771E+02   0.22835E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.48899E+02   0.10753E+03  -0.15093E+03  -0.77379E+02   0.38933E-02   0.54190E-04   0.20324E-02       0.16     274.10     0.0000  0.00   0.26803E-01   0.99743E+00    22.7446    22.7750    22.7836    22.7933    22.8299
   2022      7     11   12.00      4584.00   0.23011E+02   0.00000E+00   0.23011E+02   0.23274E+02   0.23385E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.57297E+02   0.15259E+03  -0.18509E+03  -0.73422E+02   0.51161E-02   0.10233E-03   0.55206E-02       0.16     247.92     0.0000  0.00  -0.25652E-01   0.25081E+01    23.2145    23.2689    23.3162    23.3378    23.3756
   2022      7     12   12.00      4608.00   0.22936E+02   0.00000E+00   0.22936E+02   0.23172E+02   0.23328E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.46776E+02   0.13545E+03  -0.17101E+03  -0.66612E+02   0.47387E-02   0.86448E-04   0.41609E-02       0.16     216.10     0.0000  0.00   0.29106E-01   0.20342E+01    23.1053    23.1524    23.2217    23.2838    23.3199
   2022      7     13   12.00      4632.00   0.22643E+02   0.00000E+00   0.22643E+02   0.22852E+02   0.22933E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.35804E+02   0.12465E+03  -0.16611E+03  -0.58318E+02   0.42177E-02   0.66699E-04   0.27257E-02       0.16     180.01     0.0000  0.00   0.38162E-02   0.15053E+01    22.8087    22.8558    22.8791    22.8957    22.9263
   2022      7     14   12.00      4656.00   0.22065E+02   0.00000E+00   0.22065E+02   0.22179E+02   0.22239E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.18891E+02   0.76517E+02  -0.12896E+03  -0.47402E+02   0.26666E-02   0.37286E-04   0.79157E-03       0.16     140.71     0.0000  0.00  -0.75687E-02   0.53439E+00    22.1514    22.1758    22.1998    22.2120    22.2361
   2022      7     15   12.00      4680.00   0.21659E+02   0.00000E+00   0.21659E+02   0.21748E+02   0.21789E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.18749E+02   0.74518E+02  -0.12242E+03  -0.46516E+02   0.27241E-02   0.36189E-04   0.28647E-03       0.16     135.90     0.0000  0.00   0.26779E-01   0.23851E+00    21.7301    21.7517    21.7580    21.7647    21.7875
   2022      7     16   12.00      4704.00   0.21715E+02   0.00000E+00   0.21715E+02   0.21789E+02   0.21828E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.12706E+02   0.51276E+02  -0.11170E+03  -0.47583E+02   0.19591E-02   0.24867E-04   0.19674E-03       0.16     150.06     0.0000  0.00   0.97757E-02  -0.23616E+00    21.7743    21.7907    21.7962    21.8024    21.8261
   2022      7     17   12.00      4728.00   0.21561E+02   0.00000E+00   0.21561E+02   0.21683E+02   0.21740E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.11245E+02   0.62252E+02  -0.14514E+03  -0.56269E+02   0.21356E-02   0.32291E-04   0.74158E-03       0.16     168.32     0.0000  0.00   0.51813E-02   0.27261E+00    21.6583    21.6849    21.6985    21.7068    21.7355
   2022      7     18   12.00      4752.00   0.19970E+02   0.00000E+00   0.19970E+02   0.20553E+02   0.20754E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.27460E+02   0.15395E+03  -0.23218E+03  -0.75420E+02   0.52080E-02   0.95888E-04   0.64793E-02       0.16     183.54     0.0000  0.00   0.31303E-01   0.26186E+01    20.4278    20.5290    20.6592    20.6971    20.7377
   2022      7     19   12.00      4776.00   0.18420E+02   0.00000E+00   0.18420E+02   0.18958E+02   0.19383E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.41140E+02   0.16594E+03  -0.21851E+03  -0.73550E+02   0.65749E-02   0.11292E-03   0.16141E-01       0.16     167.31     0.0000  0.00   0.87736E-01   0.38894E+01    18.7724    18.8677    19.0802    19.3328    19.3721
   2022      7     20   12.00      4800.00   0.17350E+02   0.00000E+00   0.17350E+02   0.17723E+02   0.17986E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.57756E+02   0.15693E+03  -0.17002E+03  -0.68241E+02   0.88276E-02   0.51144E-03   0.46548E-01       0.17     138.71     0.0000  0.00   0.22910E+00   0.51681E+01    17.6285    17.6900    17.7422    17.9405    17.9740
   2022      7     21   12.00      4824.00   0.16617E+02   0.00000E+00   0.16617E+02   0.16946E+02   0.17078E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.60870E+02   0.15770E+03  -0.15734E+03  -0.65600E+02   0.97393E-02   0.65876E-03   0.69160E-01       0.17     138.18     0.0000  0.00   0.23810E+00   0.71574E+01    16.8794    16.9384    16.9943    17.0341    17.0672
   2022      7     22   12.00      4848.00   0.16138E+02   0.00000E+00   0.16138E+02   0.16405E+02   0.16486E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.54986E+02   0.13879E+03  -0.14899E+03  -0.71203E+02   0.79346E-02   0.55167E-03   0.39031E-01       0.17     162.32     0.0000  0.00   0.10383E+00   0.61460E+01    16.3647    16.4135    16.4277    16.4381    16.4730
   2022      7     23   12.00      4872.00   0.16357E+02   0.00000E+00   0.16357E+02   0.16527E+02   0.16595E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.39307E+02   0.97798E+02  -0.13038E+03  -0.65223E+02   0.48200E-02   0.86060E-04   0.42239E-02       0.17     163.01     0.0000  0.00   0.68225E-01   0.15171E+01    16.4942    16.5327    16.5447    16.5552    16.5890
   2022      7     24   12.00      4896.00   0.16552E+02   0.00000E+00   0.16552E+02   0.16662E+02   0.16714E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.28251E+02   0.67031E+02  -0.10760E+03  -0.53179E+02   0.33460E-02   0.41913E-04   0.16576E-02       0.17     137.45     0.0000  0.00   0.15487E-01  -0.82392E+00    16.6381    16.6660    16.6752    16.6834    16.7120
   2022      7     25   12.00      4920.00   0.16579E+02   0.00000E+00   0.16579E+02   0.16690E+02   0.16738E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.39696E+02   0.75740E+02  -0.94054E+02  -0.43427E+02   0.44736E-02   0.11400E-03   0.66257E-02       0.17     111.38     0.0000  0.00   0.58490E-01   0.17502E+00    16.6662    16.6940    16.7029    16.7101    16.7345
   2022      7     26   12.00      4944.00   0.16359E+02   0.00000E+00   0.16359E+02   0.16534E+02   0.16588E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.70818E+02   0.11769E+03  -0.10018E+03  -0.46875E+02   0.78538E-02   0.44101E-03   0.30974E-01       0.17     119.50     0.0000  0.00   0.16338E+00   0.46227E+01    16.5059    16.5401    16.5505    16.5574    16.5825
   2022      7     27   12.00      4968.00   0.16634E+02   0.00000E+00   0.16634E+02   0.16770E+02   0.16832E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.53792E+02   0.99647E+02  -0.11267E+03  -0.60880E+02   0.53185E-02   0.14809E-03   0.79184E-02       0.17     170.81     0.0000  0.00   0.50416E-01   0.26984E+01    16.7435    16.7747    16.7849    16.7940    16.8266
