 Col. 1 - year
 Col. 2 - month
 Col. 3 - day
 Col. 4 - hour
 Col. 5 - the time from the start of integration, hours
 Col. 6 - surface temperature, C
 Col. 7 - water skin temperature, C
 Col. 8 - water surface temperature, C
 Col. 9 - mean temperature of water coloumn, C
 Col. 10 - maximal temperature in the water coloumn, C
 Col. 11 - zero-dimensional model temperature, C
 Col. 12 - upper ice surface temperature, C
 Col. 13 - upper snow surface temperature, C
 Col. 14 - sensible heat flux,    W/m**2
 Col. 15 - latent heat flux,      W/m**2
 Col. 16 - downward heat flux at the upper lake surface, W/m**2
 Col. 17 - downward heat flux at the lake bottom, W/m**2
 Col. 18 - friction velocity at the surface (waterside), m/s
 Col. 19 - friction velocity at the bottom, m/s
 Col. 20 - wind work at the water surface, W/m**2
 Col. 21 - albedo of the lake-atmosphere interface, n/d
 Col. 22 - shortwave radiation penetrated below surface, W/m**2
 Col. 23 - significant wave height, m
 Col. 24 - bottom ice salinity, kg/kg
 Col. 25 - discharge in x direction, m**3/s
 Col. 26 - discharge in y direction, m**3/s
 Cols. 27... - top soil columns temperature, m
   2000     11     12   12.00      1008.00  -0.54062E+01   0.00000E+00  -0.17901E-07   0.13459E+01   0.21676E+01   0.00000E+00  -0.41149E+00  -0.54062E+01  -0.24616E+02  -0.40425E+01  -0.24235E+02   0.11051E+00   0.46647E-02   0.00000E+00   0.41941-203       0.85      18.20     0.0000  0.00  -0.69063-202  -0.81612-200     0.5216     1.4899     2.0887     2.1673     2.1660
   2000     11     13   12.00      1032.00  -0.54214E+01   0.00000E+00  -0.17823E-07   0.13202E+01   0.21068E+01   0.00000E+00  -0.41740E+00  -0.54214E+01  -0.22875E+02  -0.40752E+01  -0.25943E+02   0.74231E-01   0.41758E-02   0.00000E+00   0.39815-219       0.85      17.61     0.0000  0.00  -0.65562-218  -0.77475-216     0.5083     1.4790     2.0379     2.1064     2.1055
   2000     11     14   12.00      1056.00  -0.49401E+01   0.00000E+00  -0.17833E-07   0.12951E+01   0.20483E+01   0.00000E+00  -0.53818E-02  -0.49401E+01  -0.22315E+02  -0.43586E+01  -0.26220E+02   0.44487E-01   0.46948E-02   0.00000E+00   0.37697-235       0.85      16.98     0.0000  0.00  -0.62075-234  -0.73354-232     0.4966     1.4665     1.9887     2.0480     2.0473
   2000     11     15   12.00      1080.00  -0.48105E+01   0.00000E+00  -0.17727E-07   0.12702E+01   0.19922E+01   0.00000E+00  -0.53944E-02  -0.48105E+01  -0.20492E+02  -0.41524E+01  -0.28249E+02   0.19931E-01   0.45392E-02   0.00000E+00   0.35844-251       0.85      15.93     0.0000  0.00  -0.59024-250  -0.69749-248     0.4856     1.4521     1.9410     1.9919     1.9914
   2000     11     16   12.00      1104.00  -0.48162E+01   0.00000E+00  -0.17647E-07   0.12457E+01   0.19382E+01   0.00000E+00  -0.54094E-02  -0.48162E+01  -0.19798E+02  -0.41674E+01  -0.28928E+02  -0.27969E-03   0.45340E-02   0.00000E+00   0.34066-267       0.85      15.96     0.0000  0.00  -0.56096-266  -0.66288-264     0.4755     1.4365     1.8948     1.9379     1.9376
   2000     11     17   12.00      1128.00  -0.50163E+01   0.00000E+00  -0.17590E-07   0.12217E+01   0.18863E+01   0.00000E+00  -0.55118E-02  -0.50163E+01  -0.19222E+02  -0.54443E+01  -0.28228E+02  -0.15391E-01   0.48125E-02   0.00000E+00   0.32363-283       0.85      16.46     0.0000  0.00  -0.53292-282  -0.62974-280     0.4663     1.4199     1.8498     1.8860     1.8858
   2000     11     18   12.00      1152.00  -0.60768E+01   0.00000E+00  -0.17573E-07   0.11983E+01   0.18365E+01   0.00000E+00  -0.61665E-02  -0.60768E+01  -0.21580E+02  -0.68305E+01  -0.24483E+02  -0.26713E-01   0.54533E-02   0.00000E+00   0.30711-299       0.85      17.43     0.0000  0.00  -0.50571-298  -0.59759-296     0.4581     1.4026     1.8060     1.8362     1.8361
   2000     11     19   12.00      1176.00  -0.68842E+01   0.00000E+00  -0.17606E-07   0.11755E+01   0.17886E+01   0.00000E+00  -0.66046E-02  -0.68842E+01  -0.18280E+02  -0.61728E+01  -0.28441E+02  -0.34834E-01   0.60027E-02   0.00000E+00   0.29102-315       0.85      17.96     0.0000  0.00  -0.47920-314  -0.56627-312     0.4507     1.3848     1.7634     1.7883     1.7883
   2000     11     20   12.00      1200.00  -0.74859E+01   0.00000E+00  -0.17708E-07   0.11531E+01   0.17424E+01   0.00000E+00  -0.69300E-02  -0.74859E+01  -0.15147E+02  -0.71467E+01  -0.30600E+02  -0.41166E-01   0.64139E-02   0.00000E+00   0.49407-323       0.85      17.82     0.0000  0.00   0.18824-320  -0.76447-319     0.4437     1.3666     1.7218     1.7421     1.7421
   2000     11     21   12.00      1224.00  -0.78147E+01   0.00000E+00  -0.17831E-07   0.11311E+01   0.16978E+01   0.00000E+00  -0.68922E-02  -0.78147E+01  -0.11035E+02  -0.81468E+01  -0.33711E+02  -0.44720E-01   0.63361E-02   0.00000E+00   0.49407-323       0.85      17.49     0.0000  0.00   0.15860-320  -0.70424-319     0.4369     1.3479     1.6812     1.6975     1.6976
   2000     11     22   12.00      1248.00  -0.79480E+01   0.00000E+00  -0.17930E-07   0.11093E+01   0.16549E+01   0.00000E+00  -0.62855E-02  -0.79480E+01  -0.71156E+01  -0.92223E+01  -0.36555E+02  -0.46391E-01   0.59980E-02   0.00000E+00   0.49407-323       0.85      17.00     0.0000  0.00   0.15365-320  -0.69476-319     0.4302     1.3288     1.6416     1.6546     1.6547
   2000     11     23   12.00      1272.00  -0.80245E+01   0.00000E+00  -0.18009E-07   0.10877E+01   0.16134E+01   0.00000E+00  -0.62200E-02  -0.80245E+01  -0.45701E+01  -0.81113E+01  -0.40212E+02  -0.47249E-01   0.50046E-02   0.00000E+00   0.49407-323       0.85      16.46     0.0000  0.00   0.13834-320  -0.66506-319     0.4236     1.3092     1.6028     1.6131     1.6132
   2000     11     24   12.00      1296.00  -0.76545E+01   0.00000E+00  -0.18070E-07   0.10665E+01   0.15733E+01   0.00000E+00  -0.57450E-02  -0.76545E+01  -0.13813E+01  -0.81070E+01  -0.43405E+02  -0.47496E-01   0.48331E-02   0.00000E+00   0.49407-323       0.85      15.81     0.0000  0.00   0.13784-320  -0.66437-319     0.4170     1.2892     1.5650     1.5730     1.5731
   2000     11     25   12.00      1320.00  -0.71842E+01   0.00000E+00  -0.18083E-07   0.10455E+01   0.15345E+01   0.00000E+00  -0.49270E-02  -0.71842E+01   0.10144E+01  -0.81569E+01  -0.45751E+02  -0.46302E-01   0.47258E-02   0.00000E+00   0.49407-323       0.85      15.29     0.0000  0.00   0.11808-320  -0.62420-319     0.4104     1.2691     1.5280     1.5342     1.5343
