   2022      5     19   12.00      3312.00   0.14159E+02   0.00000E+00   0.14159E+02   0.14221E+02   0.14286E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.24822E+02   0.55892E+02  -0.13608E+03  -0.10709E+03   0.26734E-02   0.16362E-04   0.13274E-02       0.17     327.19     0.0000  0.00   0.63855E-01  -0.59161E+00    14.2118    14.2233    14.2272    14.2345    14.2858
   2022      5     20   12.00      3336.00   0.14999E+02   0.00000E+00   0.14999E+02   0.15159E+02   0.15225E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.87000E+02   0.18247E+03  -0.18652E+03  -0.10472E+03   0.82672E-02   0.18160E-03   0.29442E-01       0.17     316.73     0.0000  0.00   0.86390E+00   0.86695E+01    15.1401    15.1674    15.1746    15.1829    15.2145
   2022      5     21   12.00      3360.00   0.15551E+02   0.00000E+00   0.15551E+02   0.15716E+02   0.15786E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.10955E+03   0.21551E+03  -0.19130E+03  -0.10566E+03   0.95123E-02   0.28350E-03   0.45345E-01       0.17     316.21     0.0000  0.00   0.11654E+01   0.66614E+01    15.6964    15.7251    15.7330    15.7412    15.7713
   2022      5     22   12.00      3384.00   0.16273E+02   0.00000E+00   0.16273E+02   0.16393E+02   0.16452E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.10604E+03   0.18671E+03  -0.16421E+03  -0.10271E+03   0.80740E-02   0.14834E-03   0.23944E-01       0.17     316.86     0.0000  0.00   0.85267E+00  -0.30747E+01    16.3783    16.3990    16.4049    16.4124    16.4436
   2022      5     23   12.00      3408.00   0.17361E+02   0.00000E+00   0.17361E+02   0.17434E+02   0.17484E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.66643E+02   0.11340E+03  -0.13026E+03  -0.91085E+02   0.47993E-02   0.36604E-04   0.38151E-02       0.17     302.01     0.0000  0.00   0.17547E+00  -0.57354E+01    17.4236    17.4374    17.4413    17.4483    17.4819
   2022      5     24   12.00      3432.00   0.18445E+02   0.00000E+00   0.18445E+02   0.18505E+02   0.18556E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.26218E+02   0.52233E+02  -0.11975E+03  -0.79267E+02   0.22578E-02   0.16027E-04   0.12104E-02       0.17     279.28     0.0000  0.00   0.36956E-01   0.93691E-01    18.4982    18.5071    18.5101    18.5155    18.5556
   2022      5     25   12.00      3456.00   0.18842E+02   0.00000E+00   0.18842E+02   0.19019E+02   0.19081E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.62149E+02   0.13761E+03  -0.18326E+03  -0.85205E+02   0.54129E-02   0.52546E-04   0.59218E-02       0.17     277.93     0.0000  0.00   0.26473E+00   0.84831E+01    18.9986    19.0297    19.0354    19.0436    19.0728
   2022      5     26   12.00      3480.00   0.19100E+02   0.00000E+00   0.19100E+02   0.19289E+02   0.19352E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.53697E+02   0.13218E+03  -0.19457E+03  -0.93781E+02   0.47891E-02   0.41447E-04   0.38150E-02       0.17     293.17     0.0000  0.00   0.41168E-01   0.78614E+01    19.2679    19.2996    19.3056    19.3143    19.3459
   2022      5     27   12.00      3504.00   0.19259E+02   0.00000E+00   0.19259E+02   0.19460E+02   0.19532E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.65244E+02   0.17210E+03  -0.22024E+03  -0.10140E+03   0.61091E-02   0.65343E-04   0.83341E-02       0.16     304.62     0.0000  0.00  -0.34033E+00   0.86637E+01    19.4360    19.4725    19.4791    19.4887    19.5206
   2022      5     28   12.00      3528.00   0.19239E+02   0.00000E+00   0.19239E+02   0.19478E+02   0.19555E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.76529E+02   0.20660E+03  -0.23792E+03  -0.10582E+03   0.74163E-02   0.99711E-04   0.17125E-01       0.16     307.12     0.0000  0.00  -0.63963E+00   0.83197E+01    19.4491    19.4941    19.5012    19.5107    19.5414
   2022      5     29   12.00      3552.00   0.19693E+02   0.00000E+00   0.19693E+02   0.19794E+02   0.19848E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.27124E+02   0.75559E+02  -0.15399E+03  -0.96278E+02   0.25736E-02   0.23149E-04   0.22235E-02       0.16     298.91     0.0000  0.00  -0.93976E-01   0.18110E+01    19.7836    19.7987    19.8027    19.8097    19.8453
   2022      5     30   12.00      3576.00   0.20391E+02   0.00000E+00   0.20391E+02   0.20504E+02   0.20552E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.32129E+02   0.10859E+03  -0.17617E+03  -0.92209E+02   0.35452E-02   0.24210E-04   0.92000E-03       0.16     292.07     0.0000  0.00   0.15130E+00   0.10056E+01    20.4899    20.5109    20.5156    20.5218    20.5518
   2022      5     31   12.00      3600.00   0.20772E+02   0.00000E+00   0.20772E+02   0.20934E+02   0.20991E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.25573E+02   0.12174E+03  -0.19067E+03  -0.94939E+02   0.41674E-02   0.33303E-04   0.21222E-02       0.16     296.22     0.0000  0.00   0.20516E-01   0.59392E+01    20.9150    20.9433    20.9488    20.9564    20.9874
   2022      6      1   12.00      3624.00   0.21322E+02   0.00000E+00   0.21322E+02   0.21431E+02   0.21484E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.13354E+02   0.95444E+02  -0.18386E+03  -0.98006E+02   0.30913E-02   0.22927E-04   0.10909E-02       0.16     308.16     0.0000  0.00   0.72965E-01   0.10221E+01    21.4182    21.4361    21.4407    21.4479    21.4804
   2022      6      2   12.00      3648.00   0.21672E+02   0.00000E+00   0.21672E+02   0.21810E+02   0.21869E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.19281E+02   0.11778E+03  -0.20964E+03  -0.10203E+03   0.34657E-02   0.27050E-04   0.16599E-02       0.16     313.01     0.0000  0.00  -0.12971E-01  -0.24954E+01    21.7950    21.8177    21.8229    21.8310    21.8638
   2022      6      3   12.00      3672.00   0.21262E+02   0.00000E+00   0.21262E+02   0.21616E+02   0.21703E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.54392E+02   0.23049E+03  -0.28876E+03  -0.10916E+03   0.73089E-02   0.99797E-04   0.16613E-01       0.16     305.68     0.0000  0.00  -0.69367E+00  -0.59785E+01    21.5831    21.6370    21.6450    21.6552    21.6857
   2022      6      4   12.00      3696.00   0.21160E+02   0.00000E+00   0.21160E+02   0.21336E+02   0.21399E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.35179E+02   0.13722E+03  -0.21743E+03  -0.10338E+03   0.42525E-02   0.42541E-04   0.47244E-02       0.16     294.68     0.0000  0.00  -0.26553E-01  -0.30698E+01    21.3178    21.3455    21.3512    21.3597    21.3917
   2022      6      5   12.00      3720.00   0.20853E+02   0.00000E+00   0.20853E+02   0.21147E+02   0.21230E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.58690E+02   0.19671E+03  -0.24976E+03  -0.10463E+03   0.70880E-02   0.90332E-04   0.14763E-01       0.16     287.19     0.0000  0.00   0.60085E+00  -0.71806E+01    21.1173    21.1647    21.1720    21.1817    21.2121
   2022      6      6   12.00      3744.00   0.20956E+02   0.00000E+00   0.20956E+02   0.21136E+02   0.21203E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.47447E+02   0.14861E+03  -0.19986E+03  -0.10230E+03   0.53938E-02   0.45020E-04   0.48914E-02       0.16     290.50     0.0000  0.00   0.33825E+00  -0.49299E+01    21.1145    21.1461    21.1522    21.1615    21.1950
   2022      6      7   12.00      3768.00   0.21526E+02   0.00000E+00   0.21526E+02   0.21642E+02   0.21691E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.29803E+02   0.11149E+03  -0.17097E+03  -0.96641E+02   0.37959E-02   0.27806E-04   0.13340E-02       0.16     290.45     0.0000  0.00   0.99949E-01  -0.36758E+01    21.6264    21.6483    21.6531    21.6596    21.6903
   2022      6      8   12.00      3792.00   0.21896E+02   0.00000E+00   0.21896E+02   0.22044E+02   0.22100E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.25820E+02   0.12338E+03  -0.18966E+03  -0.89608E+02   0.40182E-02   0.29745E-04   0.16308E-02       0.16     270.65     0.0000  0.00   0.98347E-01  -0.44576E+01    22.0258    22.0525    22.0579    22.0655    22.0956
   2022      6      9   12.00      3816.00   0.21601E+02   0.00000E+00   0.21601E+02   0.21837E+02   0.21908E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.33261E+02   0.16770E+03  -0.23727E+03  -0.87916E+02   0.57300E-02   0.47438E-04   0.61179E-02       0.16     246.20     0.0000  0.00   0.43663E+00  -0.10314E+01    21.8103    21.8515    21.8586    21.8683    21.8967
   2022      6     10   12.00      3840.00   0.20610E+02   0.00000E+00   0.20610E+02   0.20937E+02   0.21022E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.46683E+02   0.20388E+03  -0.27450E+03  -0.88905E+02   0.73419E-02   0.10210E-03   0.16849E-01       0.16     221.71     0.0000  0.00   0.69629E+00   0.54820E+01    20.8994    20.9590    20.9671    20.9762    21.0014
   2022      6     11   12.00      3864.00   0.19505E+02   0.00000E+00   0.19505E+02   0.19820E+02   0.19895E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.46151E+02   0.16463E+03  -0.24711E+03  -0.88486E+02   0.54613E-02   0.61338E-04   0.70355E-02       0.16     209.10     0.0000  0.00   0.10831E+00   0.81741E+01    19.7902    19.8384    19.8461    19.8557    19.8831
   2022      6     12   12.00      3888.00   0.18597E+02   0.00000E+00   0.18597E+02   0.18910E+02   0.18993E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.66771E+02   0.19053E+03  -0.25199E+03  -0.99171E+02   0.65446E-02   0.93675E-04   0.12140E-01       0.16     229.26     0.0000  0.00  -0.32154E+00   0.12338E+02    18.8778    18.9291    18.9372    18.9470    18.9759
   2022      6     13   12.00      3912.00   0.18409E+02   0.00000E+00   0.18409E+02   0.18620E+02   0.18698E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.59824E+02   0.15454E+03  -0.21047E+03  -0.11097E+03   0.50056E-02   0.47894E-04   0.43784E-02       0.16     274.69     0.0000  0.00   0.12263E-01   0.86821E+01    18.5958    18.6328    18.6397    18.6504    18.6870
   2022      6     14   12.00      3936.00   0.18822E+02   0.00000E+00   0.18822E+02   0.18991E+02   0.19063E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.54518E+02   0.14530E+03  -0.19861E+03  -0.11336E+03   0.47622E-02   0.42169E-04   0.35173E-02       0.16     298.08     0.0000  0.00   0.20793E+00   0.63881E+01    18.9698    19.0018    19.0080    19.0177    19.0555
   2022      6     15   12.00      3960.00   0.19265E+02   0.00000E+00   0.19265E+02   0.19409E+02   0.19468E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.39083E+02   0.11922E+03  -0.18519E+03  -0.97927E+02   0.39217E-02   0.27621E-04   0.13983E-02       0.16     265.92     0.0000  0.00   0.18863E+00   0.26950E+01    19.3909    19.4181    19.4237    19.4315    19.4644
   2022      6     16   12.00      3984.00   0.19550E+02   0.00000E+00   0.19550E+02   0.19630E+02   0.19669E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.23422E+02   0.76291E+02  -0.14725E+03  -0.76825E+02   0.27642E-02   0.19243E-04   0.26391E-03       0.16     216.17     0.0000  0.00   0.10301E+00   0.16070E-01    19.6194    19.6339    19.6380    19.6431    19.6691
   2022      6     17   12.00      4008.00   0.19835E+02   0.00000E+00   0.19835E+02   0.19893E+02   0.19927E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.19582E+02   0.62026E+02  -0.11711E+03  -0.62221E+02   0.25364E-02   0.15682E-04   0.18972E-03       0.16     184.85     0.0000  0.00   0.82291E-01   0.19062E+00    19.8854    19.8966    19.8999    19.9042    19.9272
   2022      6     18   12.00      4032.00   0.20318E+02   0.00000E+00   0.20318E+02   0.20355E+02   0.20398E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.10547E+02   0.33561E+02  -0.89609E+02  -0.65377E+02   0.14946E-02   0.83487E-05   0.10214E-03       0.16     205.33     0.0000  0.00   0.29251E-01  -0.31380E-02    20.3507    20.3563    20.3586    20.3628    20.3975
   2022      6     19   12.00      4056.00   0.21148E+02   0.00000E+00   0.21148E+02   0.21205E+02   0.21247E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.22022E+02   0.72252E+02  -0.13326E+03  -0.87239E+02   0.26784E-02   0.17435E-04   0.26611E-03       0.16     269.23     0.0000  0.00   0.64945E-01  -0.14474E+01    21.1968    21.2075    21.2108    21.2162    21.2465
   2022      6     20   12.00      4080.00   0.21781E+02   0.00000E+00   0.21781E+02   0.21933E+02   0.22000E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.37925E+02   0.13616E+03  -0.20361E+03  -0.11137E+03   0.45633E-02   0.32999E-04   0.25617E-02       0.16     328.45     0.0000  0.00   0.24156E+00  -0.32971E+01    21.9145    21.9421    21.9477    21.9569    21.9937
   2022      6     21   12.00      4104.00   0.22149E+02   0.00000E+00   0.22149E+02   0.22352E+02   0.22423E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.26534E+02   0.14972E+03  -0.23373E+03  -0.10482E+03   0.45231E-02   0.44301E-04   0.38796E-02       0.16     303.10     0.0000  0.00   0.19885E+00   0.30696E+01    22.3310    22.3625    22.3688    22.3784    22.4123
   2022      6     22   12.00      4128.00   0.20987E+02   0.00000E+00   0.20987E+02   0.21530E+02   0.22249E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.27509E+02   0.19596E+03  -0.25700E+03  -0.62584E+02   0.64313E-02   0.60549E-04   0.12346E-01       0.16     197.37     0.0000  0.00   0.28853E+00   0.14066E+02    21.2644    21.3179    21.9033    22.2193    22.2413
   2022      6     23   12.00      4152.00   0.19978E+02   0.00000E+00   0.19978E+02   0.20527E+02   0.21739E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.19131E+02   0.10726E+03  -0.16272E+03  -0.58972E+02   0.36685E-02   0.15372E-04   0.13582E-02       0.16     143.46     0.0000  0.00   0.16355E+00   0.19114E+01    20.1075    20.1559    21.1398    21.6512    21.6827
   2022      6     24   12.00      4176.00   0.19407E+02   0.00000E+00   0.19407E+02   0.20231E+02   0.21165E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.27728E+02   0.86715E+02  -0.13329E+03  -0.60428E+02   0.33789E-02   0.13615E-04   0.69764E-03       0.16     181.18     0.0000  0.00   0.14623E+00  -0.84905E-01    19.4898    20.3106    21.1237    21.1275    21.1653
   2022      6     25   12.00      4200.00   0.19287E+02   0.00000E+00   0.19287E+02   0.20517E+02   0.21905E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.56621E+02   0.12323E+03  -0.13588E+03  -0.71354E+02   0.56381E-02   0.25421E-04   0.92008E-02       0.16     205.89     0.0000  0.00   0.20602E+00   0.11324E+02    19.4057    20.6343    21.8532    21.8721    21.8993
   2022      6     26   12.00      4224.00   0.19999E+02   0.00000E+00   0.19999E+02   0.20437E+02   0.21783E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.69849E+02   0.16863E+03  -0.15859E+03  -0.49633E+02   0.85977E-02   0.41882E-04   0.36444E-01       0.16     169.73     0.0000  0.00   0.17770E+00   0.28010E+02    20.1597    20.1851    20.5639    21.7634    21.7814
   2022      6     27   12.00      4248.00   0.19466E+02   0.00000E+00   0.19466E+02   0.20083E+02   0.22518E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.65549E+02   0.14642E+03  -0.13228E+03  -0.39066E+02   0.79155E-02   0.38467E-04   0.27008E-01       0.16     147.33     0.0000  0.00  -0.55024E-01   0.23738E+02    19.5873    19.6107    20.3023    22.5020    22.5169
   2022      6     28   12.00      4272.00   0.19864E+02   0.00000E+00   0.19864E+02   0.20007E+02   0.20130E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.43152E+02   0.10879E+03  -0.12189E+03  -0.86601E+02   0.47487E-02   0.51488E-04   0.51563E-02       0.16     166.65     0.0000  0.00  -0.83579E-01   0.83869E+01    19.9752    20.0015    20.0265    20.0938    20.1139
   2022      6     29   12.00      4296.00   0.20565E+02   0.00000E+00   0.20565E+02   0.20595E+02   0.20634E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.18376E+02   0.43278E+02  -0.88821E+02  -0.77288E+02   0.19731E-02   0.10866E-04   0.82932E-04       0.16     218.64     0.0000  0.00   0.31154E-01   0.92743E+00    20.5907    20.5959    20.5982    20.6030    20.6344
   2022      6     30   12.00      4320.00   0.21454E+02   0.00000E+00   0.21454E+02   0.21528E+02   0.21570E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.41815E+02   0.93809E+02  -0.12210E+03  -0.79371E+02   0.35789E-02   0.24213E-04   0.13299E-02       0.16     239.35     0.0000  0.00   0.12182E+00   0.33307E+01    21.5171    21.5322    21.5357    21.5412    21.5696
   2022      7      1   12.00      4344.00   0.21759E+02   0.00000E+00   0.21759E+02   0.21904E+02   0.21955E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.58764E+02   0.13778E+03  -0.14603E+03  -0.68229E+02   0.55374E-02   0.60754E-04   0.67163E-02       0.16     204.24     0.0000  0.00   0.13586E+00   0.10563E+02    21.8860    21.9135    21.9183    21.9249    21.9475
   2022      7      2   12.00      4368.00   0.21682E+02   0.00000E+00   0.21682E+02   0.21819E+02   0.21862E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.45137E+02   0.11727E+03  -0.13206E+03  -0.53181E+02   0.48086E-02   0.45793E-04   0.41399E-02       0.16     158.11     0.0000  0.00   0.12644E+00   0.79497E+01    21.8012    21.8280    21.8326    21.8381    21.8570
   2022      7      3   12.00      4392.00   0.21540E+02   0.00000E+00   0.21540E+02   0.21640E+02   0.21674E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.30862E+02   0.86752E+02  -0.11552E+03  -0.47408E+02   0.36068E-02   0.23825E-04   0.11184E-02       0.16     140.18     0.0000  0.00   0.11591E+00   0.37033E+01    21.6252    21.6465    21.6505    21.6547    21.6729
   2022      7      4   12.00      4416.00   0.21428E+02   0.00000E+00   0.21428E+02   0.21507E+02   0.21537E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.18912E+02   0.68390E+02  -0.11389E+03  -0.42393E+02   0.26538E-02   0.17368E-04   0.27296E-03       0.16     124.97     0.0000  0.00   0.57116E-02   0.22426E+01    21.4974    21.5121    21.5157    21.5195    21.5362
   2022      7      5   12.00      4440.00   0.20841E+02   0.00000E+00   0.20841E+02   0.20978E+02   0.21014E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.24262E+02   0.95951E+02  -0.13274E+03  -0.36769E+02   0.35959E-02   0.23281E-04   0.11678E-02       0.16      95.89     0.0000  0.00  -0.54447E-01   0.42372E+01    20.9605    20.9867    20.9916    20.9963    21.0115
   2022      7      6   12.00      4464.00   0.20180E+02   0.00000E+00   0.20180E+02   0.20321E+02   0.20361E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.31389E+02   0.97324E+02  -0.12222E+03  -0.44262E+02   0.41636E-02   0.30140E-04   0.20658E-02       0.16     109.03     0.0000  0.00  -0.31081E-01   0.61168E+01    20.3029    20.3308    20.3356    20.3407    20.3582
   2022      7      7   12.00      4488.00   0.20054E+02   0.00000E+00   0.20054E+02   0.20151E+02   0.20187E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.29601E+02   0.83097E+02  -0.11171E+03  -0.54639E+02   0.34940E-02   0.23597E-04   0.10370E-02       0.16     143.50     0.0000  0.00   0.48681E-01   0.40444E+01    20.1368    20.1580    20.1621    20.1665    20.1866
   2022      7      8   12.00      4512.00   0.20348E+02   0.00000E+00   0.20348E+02   0.20402E+02   0.20440E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.30251E+02   0.67994E+02  -0.10422E+03  -0.71609E+02   0.29709E-02   0.17696E-04   0.45337E-03       0.16     200.58     0.0000  0.00   0.10629E+00   0.14475E+00    20.3935    20.4050    20.4082    20.4130    20.4398
   2022      7      9   12.00      4536.00   0.21184E+02   0.00000E+00   0.21184E+02   0.21259E+02   0.21305E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.59217E+02   0.10059E+03  -0.12135E+03  -0.89008E+02   0.44900E-02   0.36703E-04   0.30715E-02       0.16     263.12     0.0000  0.00   0.63522E-01  -0.66750E+01    21.2479    21.2626    21.2664    21.2726    21.3032
   2022      7     10   12.00      4560.00   0.22031E+02   0.00000E+00   0.22031E+02   0.22152E+02   0.22208E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.76915E+02   0.14051E+03  -0.15263E+03  -0.93806E+02   0.57813E-02   0.71914E-04   0.79716E-02       0.16     281.48     0.0000  0.00  -0.62011E-01  -0.11993E+02    22.1378    22.1586    22.1632    22.1710    22.2002
   2022      7     11   12.00      4584.00   0.22518E+02   0.00000E+00   0.22518E+02   0.22671E+02   0.22728E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.62815E+02   0.14351E+03  -0.16663E+03  -0.84477E+02   0.52798E-02   0.55396E-04   0.53059E-02       0.16     253.93     0.0000  0.00  -0.17192E+00  -0.90500E+01    22.6532    22.6794    22.6845    22.6922    22.7198
   2022      7     12   12.00      4608.00   0.22609E+02   0.00000E+00   0.22609E+02   0.22770E+02   0.22824E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.56122E+02   0.14595E+03  -0.16860E+03  -0.74462E+02   0.55372E-02   0.60779E-04   0.63642E-02       0.16     219.23     0.0000  0.00  -0.22020E+00  -0.95159E+01    22.7505    22.7803    22.7856    22.7928    22.8165
   2022      7     13   12.00      4632.00   0.22338E+02   0.00000E+00   0.22338E+02   0.22534E+02   0.22588E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.49407E+02   0.15461E+03  -0.17929E+03  -0.64046E+02   0.57413E-02   0.72907E-04   0.75111E-02       0.16     180.00     0.0000  0.00  -0.17411E+00  -0.11190E+02    22.5122    22.5469    22.5526    22.5592    22.5789
   2022      7     14   12.00      4656.00   0.22049E+02   0.00000E+00   0.22049E+02   0.22134E+02   0.22170E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.14660E+02   0.57386E+02  -0.11247E+03  -0.47668E+02   0.20748E-02   0.16103E-04   0.67178E-03       0.16     138.69     0.0000  0.00  -0.42413E-01  -0.12186E+01    22.1246    22.1384    22.1418    22.1460    22.1678
   2022      7     15   12.00      4680.00   0.22050E+02   0.00000E+00   0.22050E+02   0.22108E+02   0.22142E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.71071E+01   0.31337E+02  -0.92061E+02  -0.44352E+02   0.12036E-02   0.79093E-05   0.11790E-03       0.16     135.44     0.0000  0.00   0.45455E-02   0.63536E+00    22.1019    22.1103    22.1129    22.1164    22.1414
   2022      7     16   12.00      4704.00   0.21945E+02   0.00000E+00   0.21945E+02   0.22058E+02   0.22097E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.22824E+02   0.94402E+02  -0.14590E+03  -0.54273E+02   0.32835E-02   0.21115E-04   0.74390E-03       0.16     152.72     0.0000  0.00   0.10649E+00  -0.24243E+01    22.0438    22.0644    22.0689    22.0743    22.0941
   2022      7     17   12.00      4728.00   0.21222E+02   0.00000E+00   0.21222E+02   0.21458E+02   0.21518E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.31348E+02   0.14483E+03  -0.20562E+03  -0.70240E+02   0.51775E-02   0.45274E-04   0.43786E-02       0.16     173.46     0.0000  0.00   0.26160E+00  -0.61565E+01    21.4329    21.4717    21.4785    21.4864    21.5092
   2022      7     18   12.00      4752.00   0.20454E+02   0.00000E+00   0.20454E+02   0.20666E+02   0.20731E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.20068E+02   0.13091E+03  -0.21813E+03  -0.81209E+02   0.42464E-02   0.36082E-04   0.26460E-02       0.16     189.79     0.0000  0.00   0.18798E+00   0.73443E+00    20.6435    20.6781    20.6851    20.6943    20.7214
   2022      7     19   12.00      4776.00   0.19354E+02   0.00000E+00   0.19354E+02   0.19674E+02   0.19749E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.32744E+02   0.17805E+03  -0.24257E+03  -0.81775E+02   0.64941E-02   0.10517E-03   0.13351E-01       0.16     174.10     0.0000  0.00  -0.19052E+00   0.12316E+02    19.6432    19.6936    19.7017    19.7103    19.7344
   2022      7     20   12.00      4800.00   0.18192E+02   0.00000E+00   0.18192E+02   0.18547E+02   0.18632E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.54828E+02   0.18742E+03  -0.20719E+03  -0.72243E+02   0.11237E-01   0.45826E-03   0.10178E+00       0.17     142.60     0.0000  0.00  -0.11466E+01   0.30407E+02    18.5141    18.5662    18.5816    18.5901    18.6132
   2022      7     21   12.00      4824.00   0.17407E+02   0.00000E+00   0.17407E+02   0.17726E+02   0.17809E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.55865E+02   0.17793E+03  -0.18529E+03  -0.73209E+02   0.11634E-01   0.66877E-03   0.12486E+00       0.17     146.61     0.0000  0.00  -0.27251E+00   0.43998E+02    17.7002    17.7410    17.7528    17.7611    17.7840
   2022      7     22   12.00      4848.00   0.16905E+02   0.00000E+00   0.16905E+02   0.17131E+02   0.17194E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.44510E+02   0.14984E+03  -0.17139E+03  -0.77086E+02   0.84692E-02   0.34041E-03   0.45387E-01       0.17     160.06     0.0000  0.00  -0.42875E-02   0.24610E+02    17.1069    17.1446    17.1528    17.1602    17.1830
   2022      7     23   12.00      4872.00   0.16767E+02   0.00000E+00   0.16767E+02   0.16898E+02   0.16946E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.26369E+02   0.84692E+02  -0.12915E+03  -0.64991E+02   0.41998E-02   0.36484E-04   0.32960E-02       0.17     140.70     0.0000  0.00  -0.14586E+00   0.50866E+01    16.8807    16.9069    16.9122    16.9184    16.9430
   2022      7     24   12.00      4896.00   0.16812E+02   0.00000E+00   0.16812E+02   0.16896E+02   0.16933E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.19644E+02   0.56417E+02  -0.10539E+03  -0.57569E+02   0.28906E-02   0.21018E-04   0.15992E-02       0.17     131.72     0.0000  0.00   0.50849E-01  -0.25040E+01    16.8841    16.9006    16.9046    16.9095    16.9322
   2022      7     25   12.00      4920.00   0.16939E+02   0.00000E+00   0.16939E+02   0.17024E+02   0.17070E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.28443E+02   0.68001E+02  -0.98848E+02  -0.59295E+02   0.41498E-02   0.94151E-04   0.12546E-01       0.17     144.70     0.0000  0.00  -0.33109E-01   0.55934E+01    17.0121    17.0284    17.0326    17.0378    17.0669
   2022      7     26   12.00      4944.00   0.16865E+02   0.00000E+00   0.16865E+02   0.17034E+02   0.17082E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.62648E+02   0.14103E+03  -0.13350E+03  -0.63077E+02   0.10251E-01   0.58906E-03   0.73370E-01       0.17     149.34     0.0000  0.00  -0.47167E-01   0.35707E+02    17.0190    17.0419    17.0477    17.0538    17.0712
   2022      7     27   12.00      4968.00   0.16913E+02   0.00000E+00   0.16913E+02   0.17004E+02   0.17047E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.25305E+02   0.65379E+02  -0.10752E+03  -0.61527E+02   0.36474E-02   0.76385E-04   0.66725E-02       0.17     151.95     0.0000  0.00   0.65914E-01   0.62243E+01    16.9920    17.0086    17.0128    17.0180    17.0452
