Reservoir,Point,Depth,Type,d13CO2,UC_CO2_ppm,d13CH4,UC_CH4_ppm,Num,Samp,CH4_area,CO2_area,CO2,CH4,maxD,newdepth,H_vol,CH4_undil,CO2_undil,CH4_atm,CO2_atm,CH4_Ca,CO2_Ca,CH4_Ch,CO2_Ch,CH4_tot,CO2_tot,Method,DIC,DIC_CH4,DIC_diff,DIC_corr,pH,DO,Conductivity,Temperature,Pressure
Cascavel R3,F,80,Sediment,,,,,60,Gas,17955,7777150,1100.033685,0.521040315,60,140,4.9,6.773524089,14300.43791,6.77E-05,0.143004379,0.000945285,47.95332524,0.019118366,40.36318539,0.020063652,88.31651063,Evac,111.2470821,-0.002750654,22.93057147,176.8456005,,,,,
Cascavel R3,F,0,Water,-26.18799168,9168.958021,-63.50129979,26.65830281,61,Gas,37878,4385450,523.9488286,3.780154506,60,0,4.9,49.14200858,6811.334772,0.00049142,0.068113348,0.006858059,22.84029019,0.138704004,19.22508736,0.145562063,42.06537755,Evac,62.78488471,0.01966387,20.71950716,104.2014722,5.26,34.1,11.2,26,728.1
Cascavel R3,F,20,Water,-26.32284661,9394.785143,-62.85541071,22.59150393,62,Gas,37540,4267803,504.3220164,3.724862602,60,20,4.9,48.42321383,6556.186213,0.000484232,0.065561862,0.006757747,21.98470647,0.136675196,18.504927,0.143432943,40.48963346,Evac,60.63113278,0.02007336,20.14149931,100.9730295,5.17,30.3,11.8,25.9,728.1
Cascavel R3,F,40,Water,-26.28325375,8935.064413,-63.23317629,24.63528846,63,Gas,35822,4314882,512.1761112,3.44382269,60,40,4.9,44.76969496,6658.289445,0.000447697,0.066582894,0.006247877,22.32708686,0.126363088,18.79311479,0.132610965,41.12020165,Evac,61.86794402,0.007365755,20.74774237,102.8269915,5.17,30,11.8,25.9,728.1
Cascavel R3,F,60,Water,-26.36101115,8914.656894,-65.55226494,38.96878133,64,Gas,37389,4353346,518.5929829,3.70016119,60,60,4.9,48.10209547,6741.708778,0.000481021,0.067417088,0.006712933,22.60681496,0.135768835,19.02856702,0.142481768,41.63538199,Evac,62.26013859,0.021268264,20.6247566,103.4148855,,,,,
Darro R1,G,5,Sediment,-18.32075951,1438.748426,-60.79886147,100.1936284,65,Gas,272229,1880744,106.0937671,42.11658325,35,40,4.9,547.5155822,1379.218973,0.005475156,0.01379219,0.076409049,4.624902845,1.545370365,3.89286478,1.621779414,8.517767626,Evac,14.76277089,0.341495884,6.245003269,32.21702288,,,,,
Darro R1,G,10,Sediment,,,,,66,Gas,1601077,4722719,580.2147372,278.0111279,35,45,4.9,3614.144663,7542.791583,0.036141447,0.075427916,0.50437534,25.29306727,10.2009737,21.28963441,10.70534904,46.58270168,Evac,66.79105483,1.879250356,20.20835315,110.2066629,,,,,
Darro R1,G,10,Sediment,,,,,67,Gas,1303950,4287770,507.6530708,229.0428127,35,45,4.9,2977.556566,6599.48992,0.029775566,0.065994899,0.415535692,22.12991578,8.404194922,18.62715231,8.819730614,40.7570681,Evac,64.61025737,1.723241512,23.85318927,106.9376793,,,,,
Darro R1,G,10,Sediment,,,,,68,Gas,1373696,4530949,548.222134,240.5373727,35,45,4.9,3126.985845,7126.887742,0.031269858,0.071268877,0.436389435,23.89842661,8.825961146,20.11574002,9.262350581,44.01416663,Evac,64.12147721,1.728551452,20.10731058,106.2050049,,,,,
Darro R1,G,10,Sediment,,,,,69,Gas,1408619,4596126,559.0954817,246.292893,35,45,4.9,3201.807608,7268.241262,0.032018076,0.072682413,0.446831256,24.37242408,9.037146617,20.5147123,9.483977873,44.88713638,Evac,65.86813452,1.529640175,20.98099815,108.8232188,,,,,
