   2022      5     19   12.00      3312.00   0.91419E+01   0.00000E+00   0.91419E+01   0.91979E+01   0.92960E+01   0.00000E+00   0.00000E+00   0.84257E+02   0.88167E+01   0.41269E+02  -0.12933E+03  -0.10792E+03   0.32630E-02   0.17249E-04   0.16508E-02       0.17     327.19     0.0000  0.00   0.74998E-01  -0.90534E+00     9.1877     9.2002     9.2048     9.2129     9.2955
   2022      5     20   12.00      3336.00   0.10066E+02   0.00000E+00   0.10066E+02   0.10212E+02   0.10280E+02   0.00000E+00   0.00000E+00   0.84257E+02   0.29906E+01   0.11395E+03  -0.18243E+03  -0.10590E+03   0.84984E-02   0.21408E-03   0.31745E-01       0.17     316.73     0.0000  0.00   0.91206E+00   0.90751E+01    10.1927    10.2189    10.2276    10.2370    10.2720
   2022      5     21   12.00      3360.00   0.10661E+02   0.00000E+00   0.10661E+02   0.10816E+02   0.10886E+02   0.00000E+00   0.00000E+00   0.84257E+02  -0.11495E+02   0.13938E+03  -0.18772E+03  -0.10674E+03   0.97294E-02   0.31221E-03   0.49386E-01       0.17     316.21     0.0000  0.00   0.12160E+01   0.69362E+01    10.7967    10.8235    10.8321    10.8425    10.8751
   2022      5     22   12.00      3384.00   0.11450E+02   0.00000E+00   0.11450E+02   0.11554E+02   0.11614E+02   0.00000E+00   0.00000E+00   0.84257E+02  -0.15783E+02   0.11546E+03  -0.15787E+03  -0.10380E+03   0.83164E-02   0.18792E-03   0.26239E-01       0.17     316.86     0.0000  0.00   0.90196E+00  -0.32227E+01    11.5406    11.5586    11.5655    11.5739    11.6063
   2022      5     23   12.00      3408.00   0.12648E+02   0.00000E+00   0.12648E+02   0.12706E+02   0.12763E+02   0.00000E+00   0.00000E+00   0.84257E+02  -0.63617E+01   0.66967E+02  -0.11904E+03  -0.91080E+02   0.50696E-02   0.37586E-04   0.48224E-02       0.17     302.01     0.0000  0.00   0.18980E+00  -0.64521E+01    12.6976    12.7083    12.7124    12.7194    12.7618
   2022      5     24   12.00      3432.00   0.13838E+02   0.00000E+00   0.13838E+02   0.13886E+02   0.13946E+02   0.00000E+00   0.00000E+00   0.84257E+02   0.22581E+01   0.41155E+02  -0.11236E+03  -0.79193E+02   0.30087E-02   0.18379E-04   0.15464E-02       0.17     279.28     0.0000  0.00   0.49610E-01  -0.65041E-01    13.8794    13.8878    13.8909    13.8966    13.9449
   2022      5     25   12.00      3456.00   0.14351E+02   0.00000E+00   0.14351E+02   0.14501E+02   0.14562E+02   0.00000E+00   0.00000E+00   0.84257E+02   0.87870E+01   0.81727E+02  -0.17402E+03  -0.85017E+02   0.56490E-02   0.62006E-04   0.68384E-02       0.17     277.93     0.0000  0.00   0.28732E+00   0.91900E+01    14.4812    14.5107    14.5168    14.5248    14.5553
   2022      5     26   12.00      3480.00   0.14696E+02   0.00000E+00   0.14696E+02   0.14867E+02   0.14934E+02   0.00000E+00   0.00000E+00   0.84257E+02   0.10779E+02   0.84111E+02  -0.18708E+03  -0.93531E+02   0.50218E-02   0.44400E-04   0.45941E-02       0.17     293.17     0.0000  0.00   0.45628E-01   0.86430E+01    14.8446    14.8776    14.8839    14.8930    14.9273
   2022      5     27   12.00      3504.00   0.14918E+02   0.00000E+00   0.14918E+02   0.15111E+02   0.15183E+02   0.00000E+00   0.00000E+00   0.84257E+02   0.14497E+02   0.11053E+03  -0.21482E+03  -0.10135E+03   0.63227E-02   0.71326E-04   0.96638E-02       0.16     304.62     0.0000  0.00  -0.36226E+00   0.92394E+01    15.0848    15.1233    15.1304    15.1400    15.1725
   2022      5     28   12.00      3528.00   0.14951E+02   0.00000E+00   0.14951E+02   0.15170E+02   0.15247E+02   0.00000E+00   0.00000E+00   0.84257E+02   0.15480E+02   0.13536E+03  -0.23538E+03  -0.10607E+03   0.76461E-02   0.12263E-03   0.18865E-01       0.16     307.12     0.0000  0.00  -0.67992E+00   0.87450E+01    15.1412    15.1851    15.1930    15.2020    15.2339
   2022      5     29   12.00      3552.00   0.15383E+02   0.00000E+00   0.15383E+02   0.15483E+02   0.15540E+02   0.00000E+00   0.00000E+00   0.84257E+02   0.83744E+01   0.67736E+02  -0.15813E+03  -0.97372E+02   0.31461E-02   0.27779E-04   0.25657E-02       0.16     298.91     0.0000  0.00  -0.10053E+00   0.20232E+01    15.4706    15.4884    15.4930    15.5003    15.5374
   2022      5     30   12.00      3576.00   0.16100E+02   0.00000E+00   0.16100E+02   0.16216E+02   0.16268E+02   0.00000E+00   0.00000E+00   0.84257E+02   0.17915E+02   0.74172E+02  -0.16819E+03  -0.92501E+02   0.37759E-02   0.22910E-04   0.12204E-02       0.16     292.07     0.0000  0.00   0.17071E+00   0.11464E+01    16.1993    16.2233    16.2284    16.2352    16.2682
   2022      5     31   12.00      3600.00   0.16582E+02   0.00000E+00   0.16582E+02   0.16741E+02   0.16800E+02   0.00000E+00   0.00000E+00   0.84257E+02   0.34759E+02   0.76564E+02  -0.18267E+03  -0.94727E+02   0.43538E-02   0.33983E-04   0.25452E-02       0.16     296.22     0.0000  0.00   0.23237E-01   0.64862E+01    16.7212    16.7511    16.7569    16.7646    16.7976
   2022      6      1   12.00      3624.00   0.17196E+02   0.00000E+00   0.17196E+02   0.17307E+02   0.17362E+02   0.00000E+00   0.00000E+00   0.84257E+02   0.33715E+02   0.67009E+02  -0.17956E+03  -0.98092E+02   0.32511E-02   0.22503E-04   0.12818E-02       0.16     308.16     0.0000  0.00   0.79380E-01   0.11530E+01    17.2930    17.3133    17.3181    17.3254    17.3597
   2022      6      2   12.00      3648.00   0.17595E+02   0.00000E+00   0.17595E+02   0.17736E+02   0.17796E+02   0.00000E+00   0.00000E+00   0.84257E+02   0.31834E+02   0.85245E+02  -0.20547E+03  -0.10205E+03   0.36431E-02   0.27875E-04   0.18973E-02       0.16     313.01     0.0000  0.00  -0.13966E-01  -0.27478E+01    17.7185    17.7436    17.7492    17.7573    17.7919
   2022      6      3   12.00      3672.00   0.17243E+02   0.00000E+00   0.17243E+02   0.17580E+02   0.17669E+02   0.00000E+00   0.00000E+00   0.84257E+02   0.39583E+02   0.15666E+03  -0.28657E+03  -0.10943E+03   0.75022E-02   0.11530E-03   0.18311E-01       0.16     305.68     0.0000  0.00  -0.72756E+00  -0.62848E+01    17.5470    17.6002    17.6087    17.6190    17.6504
   2022      6      4   12.00      3696.00   0.17142E+02   0.00000E+00   0.17142E+02   0.17317E+02   0.17384E+02   0.00000E+00   0.00000E+00   0.84257E+02   0.23262E+02   0.99634E+02  -0.21597E+03  -0.10379E+03   0.44790E-02   0.45630E-04   0.54642E-02       0.16     294.68     0.0000  0.00  -0.28125E-01  -0.34030E+01    17.2972    17.3275    17.3339    17.3427    17.3767
   2022      6      5   12.00      3720.00   0.16884E+02   0.00000E+00   0.16884E+02   0.17140E+02   0.17221E+02   0.00000E+00   0.00000E+00   0.84257E+02   0.33512E+02   0.12597E+03  -0.24924E+03  -0.10536E+03   0.72933E-02   0.10347E-03   0.16273E-01       0.16     287.19     0.0000  0.00   0.63615E+00  -0.75619E+01    17.1083    17.1567    17.1645    17.1742    17.2052
   2022      6      6   12.00      3744.00   0.16977E+02   0.00000E+00   0.16977E+02   0.17157E+02   0.17227E+02   0.00000E+00   0.00000E+00   0.84257E+02   0.28040E+02   0.92071E+02  -0.19677E+03  -0.10276E+03   0.56007E-02   0.47386E-04   0.56821E-02       0.16     290.50     0.0000  0.00   0.36339E+00  -0.52804E+01    17.1345    17.1681    17.1746    17.1840    17.2183
   2022      6      7   12.00      3768.00   0.17592E+02   0.00000E+00   0.17592E+02   0.17711E+02   0.17764E+02   0.00000E+00   0.00000E+00   0.84257E+02   0.26216E+02   0.72999E+02  -0.16656E+03  -0.96819E+02   0.39990E-02   0.27312E-04   0.16861E-02       0.16     290.45     0.0000  0.00   0.11030E+00  -0.41005E+01    17.6934    17.7179    17.7231    17.7301    17.7631
   2022      6      8   12.00      3792.00   0.18003E+02   0.00000E+00   0.18003E+02   0.18163E+02   0.18220E+02   0.00000E+00   0.00000E+00   0.84257E+02   0.34101E+02   0.81169E+02  -0.18558E+03  -0.89801E+02   0.42000E-02   0.30533E-04   0.20038E-02       0.16     270.65     0.0000  0.00   0.10625E+00  -0.48950E+01    18.1434    18.1730    18.1788    18.1863    18.2169
   2022      6      9   12.00      3816.00   0.17739E+02   0.00000E+00   0.17739E+02   0.17990E+02   0.18064E+02   0.00000E+00   0.00000E+00   0.84257E+02   0.47388E+02   0.10741E+03  -0.23608E+03  -0.88209E+02   0.59073E-02   0.49744E-04   0.69087E-02       0.16     246.20     0.0000  0.00   0.46234E+00  -0.11014E+01    17.9611    18.0059    18.0135    18.0233    18.0528
   2022      6     10   12.00      3840.00   0.16754E+02   0.00000E+00   0.16754E+02   0.17075E+02   0.17158E+02   0.00000E+00   0.00000E+00   0.84257E+02   0.48740E+02   0.13410E+03  -0.27883E+03  -0.90023E+02   0.75335E-02   0.11608E-03   0.18370E-01       0.16     221.71     0.0000  0.00   0.73494E+00   0.57557E+01    17.0382    17.0966    17.1055    17.1148    17.1410
   2022      6     11   12.00      3864.00   0.15593E+02   0.00000E+00   0.15593E+02   0.15907E+02   0.15988E+02   0.00000E+00   0.00000E+00   0.84257E+02   0.29400E+02   0.11527E+03  -0.25193E+03  -0.90008E+02   0.56598E-02   0.66264E-04   0.80944E-02       0.16     209.10     0.0000  0.00   0.11680E+00   0.88089E+01    15.8737    15.9262    15.9351    15.9455    15.9746
   2022      6     12   12.00      3888.00   0.14616E+02   0.00000E+00   0.14616E+02   0.14933E+02   0.15018E+02   0.00000E+00   0.00000E+00   0.84257E+02   0.19515E+02   0.13345E+03  -0.25965E+03  -0.10156E+03   0.67689E-02   0.11194E-03   0.13570E-01       0.16     229.26     0.0000  0.00  -0.34422E+00   0.13100E+02    14.8996    14.9531    14.9621    14.9721    15.0024
   2022      6     13   12.00      3912.00   0.14369E+02   0.00000E+00   0.14369E+02   0.14590E+02   0.14672E+02   0.00000E+00   0.00000E+00   0.84257E+02   0.92447E+01   0.11193E+03  -0.21512E+03  -0.11297E+03   0.52459E-02   0.50227E-04   0.52595E-02       0.16     274.69     0.0000  0.00   0.13356E-01   0.95288E+01    14.5622    14.6039    14.6118    14.6233    14.6614
   2022      6     14   12.00      3936.00   0.14746E+02   0.00000E+00   0.14746E+02   0.14936E+02   0.15015E+02   0.00000E+00   0.00000E+00   0.84257E+02   0.11559E+02   0.10346E+03  -0.20076E+03  -0.11545E+03   0.49960E-02   0.42946E-04   0.42724E-02       0.16     298.08     0.0000  0.00   0.22972E+00   0.70453E+01    14.9116    14.9473    14.9545    14.9656    15.0065
   2022      6     15   12.00      3960.00   0.15197E+02   0.00000E+00   0.15197E+02   0.15357E+02   0.15418E+02   0.00000E+00   0.00000E+00   0.84257E+02   0.16805E+02   0.85590E+02  -0.18530E+03  -0.99616E+02   0.41562E-02   0.27904E-04   0.17773E-02       0.16     265.92     0.0000  0.00   0.21231E+00   0.30350E+01    15.3348    15.3667    15.3731    15.3812    15.4165
   2022      6     16   12.00      3984.00   0.15512E+02   0.00000E+00   0.15512E+02   0.15603E+02   0.15648E+02   0.00000E+00   0.00000E+00   0.84257E+02   0.16287E+02   0.56380E+02  -0.14500E+03  -0.78160E+02   0.30206E-02   0.17870E-04   0.39898E-03       0.16     216.17     0.0000  0.00   0.12179E+00  -0.41174E-02    15.5900    15.6085    15.6131    15.6189    15.6479
   2022      6     17   12.00      4008.00   0.15850E+02   0.00000E+00   0.15850E+02   0.15915E+02   0.15953E+02   0.00000E+00   0.00000E+00   0.84257E+02   0.17273E+02   0.43378E+02  -0.11349E+03  -0.63163E+02   0.27959E-02   0.14660E-04   0.29274E-03       0.16     184.85     0.0000  0.00   0.99374E-01   0.20558E+00    15.9044    15.9185    15.9221    15.9269    15.9529
   2022      6     18   12.00      4032.00   0.16334E+02   0.00000E+00   0.16334E+02   0.16377E+02   0.16416E+02   0.00000E+00   0.00000E+00   0.84257E+02   0.14805E+02   0.35776E+02  -0.95255E+02  -0.67221E+02   0.21469E-02   0.10503E-04   0.16767E-03       0.16     205.33     0.0000  0.00   0.45462E-01  -0.16061E+00    16.3705    16.3788    16.3814    16.3862    16.4165
   2022      6     19   12.00      4056.00   0.17170E+02   0.00000E+00   0.17170E+02   0.17232E+02   0.17279E+02   0.00000E+00   0.00000E+00   0.84257E+02   0.17100E+02   0.50453E+02  -0.12850E+03  -0.88213E+02   0.29313E-02   0.16230E-04   0.40713E-03       0.16     269.23     0.0000  0.00   0.75595E-01  -0.17734E+01    17.2226    17.2355    17.2391    17.2449    17.2787
   2022      6     20   12.00      4080.00   0.17859E+02   0.00000E+00   0.17859E+02   0.18019E+02   0.18086E+02   0.00000E+00   0.00000E+00   0.84257E+02   0.28707E+02   0.87833E+02  -0.20000E+03  -0.11224E+03   0.47688E-02   0.33789E-04   0.30782E-02       0.16     328.45     0.0000  0.00   0.26414E+00  -0.36100E+01    17.9991    18.0285    18.0347    18.0438    18.0814
   2022      6     21   12.00      4104.00   0.18264E+02   0.00000E+00   0.18264E+02   0.18481E+02   0.18552E+02   0.00000E+00   0.00000E+00   0.84257E+02   0.39646E+02   0.10264E+03  -0.23103E+03  -0.10535E+03   0.47004E-02   0.42557E-04   0.44593E-02       0.16     303.10     0.0000  0.00   0.21549E+00   0.32263E+01    18.4572    18.4931    18.4999    18.5093    18.5441
   2022      6     22   12.00      4128.00   0.17326E+02   0.00000E+00   0.17326E+02   0.17671E+02   0.17748E+02   0.00000E+00   0.00000E+00   0.84257E+02   0.62692E+02   0.13519E+03  -0.26611E+03  -0.79023E+02   0.66102E-02   0.12151E-03   0.13311E-01       0.16     197.37     0.0000  0.00   0.28407E+00   0.14265E+02    17.6388    17.6920    17.7005    17.7090    17.7320
   2022      6     23   12.00      4152.00   0.16417E+02   0.00000E+00   0.16417E+02   0.16587E+02   0.16638E+02   0.00000E+00   0.00000E+00   0.84257E+02   0.38222E+02   0.78053E+02  -0.17129E+03  -0.59881E+02   0.38444E-02   0.26543E-04   0.16437E-02       0.16     143.46     0.0000  0.00   0.17279E+00   0.20288E+01    16.5659    16.5982    16.6044    16.6111    16.6338
   2022      6     24   12.00      4176.00   0.16102E+02   0.00000E+00   0.16102E+02   0.16221E+02   0.16268E+02   0.00000E+00   0.00000E+00   0.84257E+02   0.25582E+02   0.64298E+02  -0.14610E+03  -0.71143E+02   0.36130E-02   0.20883E-04   0.92487E-03       0.16     181.18     0.0000  0.00   0.16315E+00  -0.28717E-01    16.2036    16.2286    16.2338    16.2399    16.2669
   2022      6     25   12.00      4200.00   0.16170E+02   0.00000E+00   0.16170E+02   0.16340E+02   0.16395E+02   0.00000E+00   0.00000E+00   0.84257E+02   0.27037E+02   0.82157E+02  -0.16141E+03  -0.78021E+02   0.58852E-02   0.91795E-04   0.10091E-01       0.16     205.89     0.0000  0.00   0.19853E+00   0.11378E+02    16.3194    16.3504    16.3567    16.3636    16.3895
   2022      6     26   12.00      4224.00   0.15964E+02   0.00000E+00   0.15964E+02   0.16160E+02   0.16213E+02   0.00000E+00   0.00000E+00   0.84257E+02   0.33190E+02   0.88555E+02  -0.15943E+03  -0.66043E+02   0.87527E-02   0.35859E-03   0.40478E-01       0.16     169.73     0.0000  0.00   0.13747E+00   0.26384E+02    16.1404    16.1698    16.1773    16.1844    16.2036
   2022      6     27   12.00      4248.00   0.15663E+02   0.00000E+00   0.15663E+02   0.15825E+02   0.15872E+02   0.00000E+00   0.00000E+00   0.84257E+02   0.34952E+02   0.76423E+02  -0.14202E+03  -0.58541E+02   0.81124E-02   0.28836E-03   0.29546E-01       0.16     147.33     0.0000  0.00  -0.80974E-01   0.22522E+02    15.8071    15.8347    15.8416    15.8477    15.8656
   2022      6     28   12.00      4272.00   0.15605E+02   0.00000E+00   0.15605E+02   0.15712E+02   0.15756E+02   0.00000E+00   0.00000E+00   0.84257E+02   0.21519E+02   0.59530E+02  -0.11400E+03  -0.63145E+02   0.49817E-02   0.61616E-04   0.57991E-02       0.16     166.65     0.0000  0.00  -0.91491E-01   0.90730E+01    15.6959    15.7188    15.7236    15.7292    15.7534
   2022      6     29   12.00      4296.00   0.16336E+02   0.00000E+00   0.16336E+02   0.16363E+02   0.16405E+02   0.00000E+00   0.00000E+00   0.84257E+02   0.63453E+01   0.36695E+02  -0.83654E+02  -0.74154E+02   0.24473E-02   0.10916E-04   0.18549E-03       0.16     218.64     0.0000  0.00   0.49074E-01   0.14025E+01    16.3578    16.3633    16.3657    16.3707    16.4050
   2022      6     30   12.00      4320.00   0.17304E+02   0.00000E+00   0.17304E+02   0.17373E+02   0.17418E+02   0.00000E+00   0.00000E+00   0.84257E+02   0.76058E+01   0.58456E+02  -0.11308E+03  -0.77728E+02   0.38688E-02   0.23725E-04   0.17677E-02       0.16     239.35     0.0000  0.00   0.14270E+00   0.38494E+01    17.3622    17.3769    17.3805    17.3862    17.4174
   2022      7      1   12.00      4344.00   0.17724E+02   0.00000E+00   0.17724E+02   0.17854E+02   0.17902E+02   0.00000E+00   0.00000E+00   0.84257E+02   0.17945E+02   0.75391E+02  -0.13780E+03  -0.66919E+02   0.57578E-02   0.68511E-04   0.77552E-02       0.16     204.24     0.0000  0.00   0.14691E+00   0.11408E+02    17.8374    17.8622    17.8672    17.8735    17.8963
   2022      7      2   12.00      4368.00   0.17725E+02   0.00000E+00   0.17725E+02   0.17852E+02   0.17895E+02   0.00000E+00   0.00000E+00   0.84257E+02   0.23645E+02   0.64096E+02  -0.12558E+03  -0.52125E+02   0.50268E-02   0.49050E-04   0.48456E-02       0.16     158.11     0.0000  0.00   0.13892E+00   0.86574E+01    17.8344    17.8609    17.8656    17.8711    17.8911
   2022      7      3   12.00      4392.00   0.17640E+02   0.00000E+00   0.17640E+02   0.17743E+02   0.17780E+02   0.00000E+00   0.00000E+00   0.84257E+02   0.22635E+02   0.49182E+02  -0.10970E+03  -0.46463E+02   0.38302E-02   0.23115E-04   0.14452E-02       0.16     140.18     0.0000  0.00   0.13098E+00   0.41931E+01    17.7272    17.7507    17.7549    17.7593    17.7799
   2022      7      4   12.00      4416.00   0.17582E+02   0.00000E+00   0.17582E+02   0.17671E+02   0.17704E+02   0.00000E+00   0.00000E+00   0.84257E+02   0.20909E+02   0.45527E+02  -0.10942E+03  -0.41717E+02   0.28722E-02   0.16646E-04   0.41859E-03       0.16     124.97     0.0000  0.00   0.73186E-02   0.26671E+01    17.6589    17.6771    17.6809    17.6848    17.7035
   2022      7      5   12.00      4440.00   0.17030E+02   0.00000E+00   0.17030E+02   0.17173E+02   0.17211E+02   0.00000E+00   0.00000E+00   0.84257E+02   0.30113E+02   0.61765E+02  -0.13182E+03  -0.36539E+02   0.37906E-02   0.23171E-04   0.14530E-02       0.16      95.89     0.0000  0.00  -0.60343E-01   0.47253E+01    17.1526    17.1827    17.1879    17.1927    17.2088
   2022      7      6   12.00      4464.00   0.16370E+02   0.00000E+00   0.16370E+02   0.16517E+02   0.16560E+02   0.00000E+00   0.00000E+00   0.84257E+02   0.30593E+02   0.56664E+02  -0.12258E+03  -0.44467E+02   0.43659E-02   0.30908E-04   0.25254E-02       0.16     109.03     0.0000  0.00  -0.34030E-01   0.67487E+01    16.4970    16.5279    16.5331    16.5385    16.5572
   2022      7      7   12.00      4488.00   0.16248E+02   0.00000E+00   0.16248E+02   0.16353E+02   0.16394E+02   0.00000E+00   0.00000E+00   0.84257E+02   0.22496E+02   0.51607E+02  -0.11140E+03  -0.54980E+02   0.37227E-02   0.22993E-04   0.13425E-02       0.16     143.50     0.0000  0.00   0.55734E-01   0.46044E+01    16.3362    16.3606    16.3651    16.3700    16.3934
   2022      7      8   12.00      4512.00   0.16554E+02   0.00000E+00   0.16554E+02   0.16616E+02   0.16658E+02   0.00000E+00   0.00000E+00   0.84257E+02   0.12577E+02   0.44779E+02  -0.10292E+03  -0.71972E+02   0.32759E-02   0.17020E-04   0.67249E-03       0.16     200.58     0.0000  0.00   0.12848E+00   0.15517E+00    16.6055    16.6194    16.6229    16.6281    16.6576
   2022      7      9   12.00      4536.00   0.17416E+02   0.00000E+00   0.17416E+02   0.17496E+02   0.17545E+02   0.00000E+00   0.00000E+00   0.84257E+02   0.47935E+01   0.55990E+02  -0.11981E+03  -0.89413E+02   0.47667E-02   0.38353E-04   0.38252E-02       0.16     263.12     0.0000  0.00   0.73546E-01  -0.75082E+01    17.4849    17.4995    17.5035    17.5104    17.5429
   2022      7     10   12.00      4560.00   0.18286E+02   0.00000E+00   0.18286E+02   0.18406E+02   0.18464E+02   0.00000E+00   0.00000E+00   0.84257E+02   0.38724E+01   0.79791E+02  -0.15168E+03  -0.94294E+02   0.60349E-02   0.80259E-04   0.91625E-02       0.16     281.48     0.0000  0.00  -0.66661E-01  -0.12990E+02    18.3921    18.4127    18.4178    18.4258    18.4551
   2022      7     11   12.00      4584.00   0.18794E+02   0.00000E+00   0.18794E+02   0.18948E+02   0.19008E+02   0.00000E+00   0.00000E+00   0.84257E+02   0.12735E+02   0.87009E+02  -0.16469E+03  -0.84744E+02   0.55002E-02   0.56541E-04   0.64291E-02       0.16     253.93     0.0000  0.00  -0.18688E+00  -0.98608E+01    18.9296    18.9576    18.9630    18.9712    18.9997
   2022      7     12   12.00      4608.00   0.18910E+02   0.00000E+00   0.18910E+02   0.19075E+02   0.19132E+02   0.00000E+00   0.00000E+00   0.84257E+02   0.23062E+02   0.86009E+02  -0.16696E+03  -0.74688E+02   0.57463E-02   0.62147E-04   0.74188E-02       0.16     219.23     0.0000  0.00  -0.23741E+00  -0.10251E+02    19.0535    19.0853    19.0910    19.0986    19.1234
   2022      7     13   12.00      4632.00   0.18641E+02   0.00000E+00   0.18641E+02   0.18854E+02   0.18909E+02   0.00000E+00   0.00000E+00   0.84257E+02   0.32455E+02   0.93421E+02  -0.17916E+03  -0.64554E+02   0.59372E-02   0.80674E-04   0.85778E-02       0.16     180.00     0.0000  0.00  -0.18620E+00  -0.11972E+02    18.8312    18.8675    18.8737    18.8805    18.9012
   2022      7     14   12.00      4656.00   0.18308E+02   0.00000E+00   0.18308E+02   0.18403E+02   0.18438E+02   0.00000E+00   0.00000E+00   0.84257E+02   0.21543E+02   0.52849E+02  -0.12315E+03  -0.49566E+02   0.25606E-02   0.19314E-04   0.83703E-03       0.16     138.69     0.0000  0.00  -0.52999E-01  -0.13151E+01    18.3919    18.4088    18.4128    18.4173    18.4371
   2022      7     15   12.00      4680.00   0.18180E+02   0.00000E+00   0.18180E+02   0.18248E+02   0.18280E+02   0.00000E+00   0.00000E+00   0.84257E+02   0.19392E+02   0.42068E+02  -0.10759E+03  -0.47368E+02   0.17359E-02   0.10724E-04   0.16512E-03       0.16     135.44     0.0000  0.00   0.91507E-02   0.74139E+00    18.2396    18.2511    18.2544    18.2583    18.2794
   2022      7     16   12.00      4704.00   0.18034E+02   0.00000E+00   0.18034E+02   0.18151E+02   0.18193E+02   0.00000E+00   0.00000E+00   0.84257E+02   0.26216E+02   0.61698E+02  -0.14033E+03  -0.55679E+02   0.34823E-02   0.20519E-04   0.93736E-03       0.16     152.72     0.0000  0.00   0.11825E+00  -0.27534E+01    18.1350    18.1588    18.1636    18.1690    18.1910
   2022      7     17   12.00      4728.00   0.17369E+02   0.00000E+00   0.17369E+02   0.17602E+02   0.17665E+02   0.00000E+00   0.00000E+00   0.84257E+02   0.43233E+02   0.90962E+02  -0.20491E+03  -0.71468E+02   0.53551E-02   0.45022E-04   0.50080E-02       0.16     173.46     0.0000  0.00   0.27958E+00  -0.65751E+01    17.5736    17.6166    17.6239    17.6325    17.6572
   2022      7     18   12.00      4752.00   0.16598E+02   0.00000E+00   0.16598E+02   0.16822E+02   0.16889E+02   0.00000E+00   0.00000E+00   0.84257E+02   0.42583E+02   0.90473E+02  -0.21907E+03  -0.82421E+02   0.44058E-02   0.35917E-04   0.31340E-02       0.16     189.79     0.0000  0.00   0.20199E+00   0.76788E+00    16.7960    16.8354    16.8429    16.8520    16.8809
   2022      7     19   12.00      4776.00   0.15489E+02   0.00000E+00   0.15489E+02   0.15793E+02   0.15870E+02   0.00000E+00   0.00000E+00   0.84257E+02   0.54244E+02   0.11985E+03  -0.25027E+03  -0.83891E+02   0.66784E-02   0.12183E-03   0.14417E-01       0.16     174.10     0.0000  0.00  -0.20152E+00   0.12950E+02    15.7593    15.8125    15.8215    15.8306    15.8554
   2022      7     20   12.00      4800.00   0.14169E+02   0.00000E+00   0.14169E+02   0.14566E+02   0.14665E+02   0.00000E+00   0.00000E+00   0.84257E+02   0.57989E+02   0.10664E+03  -0.21758E+03  -0.75137E+02   0.11382E-01   0.49205E-03   0.10851E+00       0.17     142.60     0.0000  0.00  -0.11702E+01   0.30878E+02    14.5323    14.5868    14.6010    14.6102    14.6358
   2022      7     21   12.00      4824.00   0.13357E+02   0.00000E+00   0.13357E+02   0.13633E+02   0.13717E+02   0.00000E+00   0.00000E+00   0.84257E+02   0.58042E+02   0.98984E+02  -0.19862E+03  -0.77022E+02   0.11867E-01   0.75026E-03   0.13013E+00       0.17     146.61     0.0000  0.00  -0.28823E+00   0.45055E+02    13.6055    13.6475    13.6587    13.6672    13.6913
   2022      7     22   12.00      4848.00   0.12719E+02   0.00000E+00   0.12719E+02   0.12947E+02   0.13016E+02   0.00000E+00   0.00000E+00   0.84257E+02   0.52618E+02   0.81826E+02  -0.17829E+03  -0.80341E+02   0.86061E-02   0.34455E-03   0.49676E-01       0.17     160.06     0.0000  0.00  -0.10512E-01   0.25520E+02    12.9212    12.9603    12.9707    12.9789    13.0047
   2022      7     23   12.00      4872.00   0.12566E+02   0.00000E+00   0.12566E+02   0.12702E+02   0.12759E+02   0.00000E+00   0.00000E+00   0.84257E+02   0.31559E+02   0.48297E+02  -0.12842E+03  -0.67481E+02   0.43935E-02   0.38848E-04   0.38051E-02       0.17     140.70     0.0000  0.00  -0.15404E+00   0.55384E+01    12.6799    12.7118    12.7178    12.7243    12.7566
   2022      7     24   12.00      4896.00   0.12643E+02   0.00000E+00   0.12643E+02   0.12733E+02   0.12787E+02   0.00000E+00   0.00000E+00   0.84257E+02   0.21786E+02   0.37711E+02  -0.10600E+03  -0.59500E+02   0.31791E-02   0.24842E-04   0.18798E-02       0.17     131.72     0.0000  0.00   0.61838E-01  -0.27134E+01    12.7194    12.7396    12.7442    12.7492    12.7861
   2022      7     25   12.00      4920.00   0.12768E+02   0.00000E+00   0.12768E+02   0.12859E+02   0.12912E+02   0.00000E+00   0.00000E+00   0.84257E+02   0.26809E+02   0.38538E+02  -0.10250E+03  -0.61799E+02   0.45271E-02   0.11995E-03   0.13219E-01       0.17     144.70     0.0000  0.00  -0.35409E-01   0.57796E+01    12.8460    12.8645    12.8693    12.8747    12.9100
   2022      7     26   12.00      4944.00   0.12651E+02   0.00000E+00   0.12651E+02   0.12815E+02   0.12870E+02   0.00000E+00   0.00000E+00   0.84257E+02   0.45156E+02   0.63838E+02  -0.14176E+03  -0.65995E+02   0.10417E-01   0.62679E-03   0.78906E-01       0.17     149.34     0.0000  0.00  -0.48651E-01   0.37162E+02    12.7987    12.8231    12.8299    12.8365    12.8567
   2022      7     27   12.00      4968.00   0.12656E+02   0.00000E+00   0.12656E+02   0.12754E+02   0.12811E+02   0.00000E+00   0.00000E+00   0.84257E+02   0.24474E+02   0.39013E+02  -0.10835E+03  -0.63904E+02   0.40448E-02   0.90578E-04   0.72893E-02       0.17     151.95     0.0000  0.00   0.77161E-01   0.66192E+01    12.7408    12.7599    12.7648    12.7702    12.8087
