#,Date-Time (AKDT),WaterTemp_degC,Host Connected,Button Down,Button Up,Stopped,End of File
388,07-04-2024 21:10:34,13.08,,,,,
389,07-04-2024 21:15:34,13.12,,,,,
390,07-04-2024 21:20:34,13.12,,,,,
391,07-04-2024 21:25:34,13.12,,,,,
392,07-04-2024 21:30:34,13.17,,,,,
393,07-04-2024 21:35:34,13.17,,,,,
394,07-04-2024 21:40:34,13.12,,,,,
395,07-04-2024 21:45:34,13.17,,,,,
396,07-04-2024 21:50:34,13.12,,,,,
397,07-04-2024 21:55:34,13.12,,,,,
398,07-04-2024 22:00:34,13.08,,,,,
399,07-04-2024 22:05:34,13.08,,,,,
400,07-04-2024 22:10:34,13.12,,,,,
401,07-04-2024 22:15:34,13.12,,,,,
402,07-04-2024 22:20:34,13.04,,,,,
403,07-04-2024 22:25:34,13.08,,,,,
404,07-04-2024 22:30:34,13.08,,,,,
405,07-04-2024 22:35:34,13.08,,,,,
406,07-04-2024 22:40:34,13.08,,,,,
407,07-04-2024 22:45:34,13.08,,,,,
408,07-04-2024 22:50:34,13.08,,,,,
409,07-04-2024 22:55:34,13.04,,,,,
410,07-04-2024 23:00:34,13.08,,,,,
411,07-04-2024 23:05:34,13.04,,,,,
412,07-04-2024 23:10:34,13.04,,,,,
413,07-04-2024 23:15:34,13.04,,,,,
414,07-04-2024 23:20:34,13.08,,,,,
415,07-04-2024 23:25:34,13.04,,,,,
416,07-04-2024 23:30:34,13.08,,,,,
417,07-04-2024 23:35:34,13.04,,,,,
418,07-04-2024 23:40:34,13.04,,,,,
419,07-04-2024 23:45:34,13.04,,,,,
420,07-04-2024 23:50:34,13.00,,,,,
421,07-04-2024 23:55:34,13.04,,,,,
422,07-05-2024 00:00:34,13.04,,,,,
423,07-05-2024 00:05:34,13.00,,,,,
424,07-05-2024 00:10:34,13.00,,,,,
425,07-05-2024 00:15:34,13.00,,,,,
426,07-05-2024 00:20:34,12.95,,,,,
427,07-05-2024 00:25:34,12.95,,,,,
428,07-05-2024 00:30:34,13.00,,,,,
429,07-05-2024 00:35:34,12.95,,,,,
430,07-05-2024 00:40:34,12.95,,,,,
431,07-05-2024 00:45:34,12.91,,,,,
432,07-05-2024 00:50:34,12.91,,,,,
433,07-05-2024 00:55:34,12.91,,,,,
434,07-05-2024 01:00:34,12.91,,,,,
435,07-05-2024 01:05:34,12.91,,,,,
436,07-05-2024 01:10:34,12.91,,,,,
437,07-05-2024 01:15:34,12.91,,,,,
438,07-05-2024 01:20:34,12.95,,,,,
439,07-05-2024 01:25:34,12.91,,,,,
440,07-05-2024 01:30:34,12.91,,,,,
441,07-05-2024 01:35:34,12.87,,,,,
442,07-05-2024 01:40:34,12.87,,,,,
443,07-05-2024 01:45:34,12.87,,,,,
444,07-05-2024 01:50:34,12.82,,,,,
445,07-05-2024 01:55:34,12.87,,,,,
446,07-05-2024 02:00:34,12.87,,,,,
447,07-05-2024 02:05:34,12.82,,,,,
448,07-05-2024 02:10:34,12.82,,,,,
449,07-05-2024 02:15:34,12.82,,,,,
450,07-05-2024 02:20:34,12.87,,,,,
451,07-05-2024 02:25:34,12.78,,,,,
452,07-05-2024 02:30:34,12.82,,,,,
453,07-05-2024 02:35:34,12.82,,,,,
454,07-05-2024 02:40:34,12.78,,,,,
455,07-05-2024 02:45:34,12.78,,,,,
456,07-05-2024 02:50:34,12.78,,,,,
457,07-05-2024 02:55:34,12.78,,,,,
458,07-05-2024 03:00:34,12.82,,,,,
459,07-05-2024 03:05:34,12.78,,,,,
460,07-05-2024 03:10:34,12.78,,,,,
461,07-05-2024 03:15:34,12.78,,,,,
462,07-05-2024 03:20:34,12.78,,,,,
463,07-05-2024 03:25:34,12.78,,,,,
464,07-05-2024 03:30:34,12.78,,,,,
465,07-05-2024 03:35:34,12.70,,,,,
466,07-05-2024 03:40:34,12.74,,,,,
467,07-05-2024 03:45:34,12.74,,,,,
468,07-05-2024 03:50:34,12.65,,,,,
469,07-05-2024 03:55:34,12.70,,,,,
470,07-05-2024 04:00:34,12.65,,,,,
471,07-05-2024 04:05:34,12.65,,,,,
472,07-05-2024 04:10:34,12.65,,,,,
473,07-05-2024 04:15:34,12.65,,,,,
474,07-05-2024 04:20:34,12.65,,,,,
475,07-05-2024 04:25:34,12.65,,,,,
476,07-05-2024 04:30:34,12.65,,,,,
477,07-05-2024 04:35:34,12.65,,,,,
478,07-05-2024 04:40:34,12.65,,,,,
479,07-05-2024 04:45:34,12.65,,,,,
480,07-05-2024 04:50:34,12.61,,,,,
481,07-05-2024 04:55:34,12.61,,,,,
482,07-05-2024 05:00:34,12.61,,,,,
483,07-05-2024 05:05:34,12.57,,,,,
484,07-05-2024 05:10:34,12.61,,,,,
485,07-05-2024 05:15:34,12.61,,,,,
486,07-05-2024 05:20:34,12.57,,,,,
487,07-05-2024 05:25:34,12.57,,,,,
488,07-05-2024 05:30:34,12.57,,,,,
489,07-05-2024 05:35:34,12.61,,,,,
490,07-05-2024 05:40:34,12.57,,,,,
491,07-05-2024 05:45:34,12.57,,,,,
492,07-05-2024 05:50:34,12.57,,,,,
493,07-05-2024 05:55:34,12.52,,,,,
494,07-05-2024 06:00:34,12.52,,,,,
495,07-05-2024 06:05:34,12.48,,,,,
496,07-05-2024 06:10:34,12.48,,,,,
497,07-05-2024 06:15:34,12.52,,,,,
498,07-05-2024 06:20:34,12.52,,,,,
499,07-05-2024 06:25:34,12.52,,,,,
500,07-05-2024 06:30:34,12.52,,,,,
501,07-05-2024 06:35:34,12.52,,,,,
502,07-05-2024 06:40:34,12.48,,,,,
503,07-05-2024 06:45:34,12.48,,,,,
504,07-05-2024 06:50:34,12.48,,,,,
505,07-05-2024 06:55:34,12.44,,,,,
506,07-05-2024 07:00:34,12.48,,,,,
507,07-05-2024 07:05:34,12.40,,,,,
508,07-05-2024 07:10:34,12.44,,,,,
509,07-05-2024 07:15:34,12.44,,,,,
510,07-05-2024 07:20:34,12.44,,,,,
511,07-05-2024 07:25:34,12.44,,,,,
512,07-05-2024 07:30:34,12.40,,,,,
513,07-05-2024 07:35:34,12.40,,,,,
514,07-05-2024 07:40:34,12.40,,,,,
515,07-05-2024 07:45:34,12.44,,,,,
516,07-05-2024 07:50:34,12.35,,,,,
517,07-05-2024 07:55:34,12.35,,,,,
518,07-05-2024 08:00:34,12.40,,,,,
519,07-05-2024 08:05:34,12.40,,,,,
520,07-05-2024 08:10:34,12.40,,,,,
521,07-05-2024 08:15:34,12.44,,,,,
522,07-05-2024 08:20:34,12.40,,,,,
523,07-05-2024 08:25:34,12.40,,,,,
524,07-05-2024 08:30:34,12.40,,,,,
525,07-05-2024 08:35:34,12.40,,,,,
526,07-05-2024 08:40:34,12.35,,,,,
527,07-05-2024 08:45:34,12.35,,,,,
528,07-05-2024 08:50:34,12.35,,,,,
529,07-05-2024 08:55:34,12.35,,,,,
530,07-05-2024 09:00:34,12.44,,,,,
531,07-05-2024 09:05:34,12.35,,,,,
532,07-05-2024 09:10:34,12.44,,,,,
533,07-05-2024 09:15:34,12.40,,,,,
534,07-05-2024 09:20:34,12.44,,,,,
535,07-05-2024 09:25:34,12.48,,,,,
536,07-05-2024 09:30:34,12.40,,,,,
537,07-05-2024 09:35:34,12.44,,,,,
538,07-05-2024 09:40:34,12.48,,,,,
539,07-05-2024 09:45:34,12.48,,,,,
540,07-05-2024 09:50:34,12.44,,,,,
